time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.008,309,364,410,310,-1.0,41.0,38.0,13.793944358825684,-13.061522483825684,-12.573241233825684,-0.9349365234375,0.3526611328125,0.0638427734375
0.016,309,364,410,309,-1.0,41.0,38.0,14.038084983825684,-12.207030296325684,-12.756346702575684,-0.928466796875,0.3587646484375,0.0673828125
0.017,310,367,410,310,-1.0,41.0,38.0,11.901854515075684,-10.803221702575684,-12.939452171325684,-0.919189453125,0.3548583984375,0.0701904296875
0.025,310,367,411,309,-1.0,41.0,38.0,11.901854515075684,-10.803221702575684,-12.939452171325684,-0.9110107421875,0.3427734375,0.0703125
0.039,308,368,410,308,-1.0,41.0,38.0,5.554198741912842,-8.97216796875,-14.587401390075684,-0.9093017578125,0.3291015625,0.0701904296875
0.052,310,368,411,310,-1.0,41.0,38.0,4.69970703125,-9.33837890625,-15.563963890075684,-0.9150390625,0.3179931640625,0.0673828125
0.055,309,365,410,310,-1.0,41.0,38.0,4.69970703125,-9.33837890625,-15.563963890075684,-0.9256591796875,0.3148193359375,0.05712890625
0.072,311,369,411,310,-1.0,41.0,38.0,7.629394054412842,-11.596678733825684,-16.845703125,-0.93701171875,0.3187255859375,0.0472412109375
0.077,308,367,411,310,-1.0,41.0,38.0,7.629394054412842,-13.122557640075684,-17.27294921875,-0.93994140625,0.314697265625,0.0482177734375
0.085,308,364,415,310,-1.0,41.0,38.0,7.629394054412842,-13.122557640075684,-17.27294921875,-0.9390869140625,0.3043212890625,0.05126953125
0.099,308,364,414,310,4.0,41.0,42.0,6.103515148162842,-15.014647483825684,-16.78466796875,-0.939453125,0.2977294921875,0.052734375
0.110,310,364,411,310,4.0,41.0,42.0,4.69970703125,-15.136717796325684,-15.686034202575684,-0.935791015625,0.2891845703125,0.0570068359375
0.119,308,364,414,310,4.0,41.0,42.0,2.44140625,-14.892577171325684,-14.160155296325684,-0.92626953125,0.2777099609375,0.06298828125
