time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.008,309,715,599,310,-1.0,42.0,40.0,-0.3662109076976776,-2.01416015625,-1.8920897245407104,-0.939697265625,0.2889404296875,-0.156982421875
0.016,310,715,601,309,-1.0,42.0,40.0,-0.54931640625,-1.9531248807907104,-1.7700194120407104,-0.9365234375,0.2877197265625,-0.150146484375
0.040,310,718,601,310,-1.0,42.0,40.0,-0.7324218153953552,-1.6479490995407104,-1.6479490995407104,-0.9342041015625,0.293212890625,-0.1446533203125
0.040,310,721,604,308,-1.0,42.0,40.0,-1.0986328125,-1.03759765625,-1.6479490995407104,-0.93408203125,0.299072265625,-0.1444091796875
0.046,309,722,604,310,-1.0,42.0,40.0,-1.4038084745407104,-0.3662109076976776,-1.9531248807907104,-0.9354248046875,0.2989501953125,-0.1468505859375
0.057,310,724,603,310,-1.0,42.0,40.0,-1.4038084745407104,0.1831054538488388,-2.3193359375,-0.93798828125,0.2955322265625,-0.1513671875
0.068,308,725,607,310,-1.0,42.0,40.0,-0.9155272841453552,0.4882812201976776,-2.44140625,-0.94189453125,0.2938232421875,-0.1578369140625
0.080,310,725,607,309,-1.0,42.0,40.0,-0.1220703050494194,0.4882812201976776,-2.3193359375,-0.9451904296875,0.2938232421875,-0.1619873046875
0.087,310,725,607,310,-1.0,42.0,40.0,0.4882812201976776,0.1831054538488388,-2.197265625,-0.9468994140625,0.2908935546875,-0.1612548828125
0.099,310,726,607,309,-4.0,43.0,41.0,0.9765624403953552,-0.3662109076976776,-2.01416015625,-0.946533203125,0.283447265625,-0.15771484375
0.111,310,726,607,310,-4.0,43.0,41.0,1.2817381620407104,-0.8544921278953552,-1.6479490995407104,-0.9432373046875,0.2757568359375,-0.152587890625
0.119,310,728,613,310,-4.0,43.0,41.0,1.5869139432907104,-1.15966796875,-1.03759765625,-0.9393310546875,0.273681640625,-0.14794921875
0.136,309,728,608,310,-4.0,43.0,41.0,1.9531248807907104,-1.220703125,-0.30517578125,-0.9373779296875,0.27880859375,-0.1456298828125
0.142,310,726,608,310,-4.0,43.0,41.0,2.01416015625,-0.9765624403953552,0.3662109076976776,-0.9375,0.2861328125,-0.146728515625
0.144,310,728,608,310,-4.0,43.0,41.0,1.7700194120407104,-0.6103515625,0.7934569716453552,-0.9381103515625,0.2904052734375,-0.151123046875
0.158,310,728,607,310,-4.0,43.0,41.0,1.3427733182907104,-0.0610351525247097,0.9765624403953552,-0.938720703125,0.2926025390625,-0.1566162109375
0.170,309,728,607,310,-4.0,43.0,41.0,0.9765624403953552,0.4882812201976776,1.03759765625,-0.9390869140625,0.295654296875,-0.16064453125
0.174,310,728,607,310,-4.0,43.0,41.0,0.54931640625,0.8544921278953552,0.9765624403953552,-0.939453125,0.2982177734375,-0.1630859375
0.187,310,725,608,309,-4.0,41.0,41.0,0.0610351525247097,0.9765624403953552,0.7934569716453552,-0.9398193359375,0.296630859375,-0.1644287109375
0.196,310,726,607,309,-4.0,41.0,41.0,-0.1831054538488388,0.7934569716453552,0.6103515625,-0.9403076171875,0.2904052734375,-0.1630859375
0.204,310,725,604,310,-4.0,41.0,41.0,0.4272460639476776,0.1831054538488388,0.6713866591453552,-0.94091796875,0.28466796875,-0.157958984375
0.242,310,726,601,310,-4.0,41.0,41.0,1.6479490995407104,-0.4882812201976776,0.8544921278953552,-0.94189453125,0.2835693359375,-0.1522216796875
