time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.002,308,452,419,310,-3.0,40.0,45.0,0.2441406100988388,0.8544921278953552,0.54931640625,-0.921875,0.3681640625,0.0201416015625
0.002,309,452,419,309,-3.0,40.0,45.0,0.0610351525247097,0.9155272841453552,0.4272460639476776,-0.92236328125,0.3681640625,0.02001953125
0.002,309,452,419,310,-3.0,40.0,45.0,0.0610351525247097,0.9155272841453552,0.2441406100988388,-0.9228515625,0.367919921875,0.0203857421875
0.003,310,437,419,310,-3.0,40.0,45.0,0.1220703050494194,0.8544921278953552,0.1220703050494194,-0.9224853515625,0.367431640625,0.0216064453125
0.016,310,454,420,310,-3.0,40.0,45.0,0.30517578125,0.7934569716453552,0.0,-0.9212646484375,0.3665771484375,0.0234375
0.024,308,454,420,310,-3.0,40.0,45.0,0.54931640625,0.6713866591453552,-0.0610351525247097,-0.9217529296875,0.36669921875,0.0230712890625
0.036,310,452,419,310,-3.0,40.0,45.0,0.6103515625,0.6103515625,-0.1831054538488388,-0.923095703125,0.367919921875,0.020751953125
0.046,307,452,419,309,-3.0,40.0,45.0,0.4882812201976776,0.4882812201976776,-0.3662109076976776,-0.9228515625,0.3662109375,0.0201416015625
0.054,310,453,420,310,-3.0,40.0,45.0,0.30517578125,0.54931640625,-0.4882812201976776,-0.9228515625,0.3662109375,0.0201416015625
0.066,310,454,419,309,-3.0,40.0,45.0,0.30517578125,0.7324218153953552,-0.4272460639476776,-0.923583984375,0.365966796875,0.0208740234375
0.094,308,454,417,310,-3.0,39.0,35.0,0.3662109076976776,0.7934569716453552,-0.1831054538488388,-0.9246826171875,0.362548828125,0.021484375
0.096,308,454,420,310,-3.0,39.0,35.0,0.6103515625,0.6103515625,0.0610351525247097,-0.9246826171875,0.362548828125,0.021484375
0.096,296,439,420,310,-3.0,39.0,35.0,0.9765624403953552,0.30517578125,0.2441406100988388,-0.9241943359375,0.3642578125,0.0211181640625
0.114,308,453,420,309,-3.0,39.0,35.0,1.15966796875,0.1220703050494194,0.30517578125,-0.921630859375,0.3717041015625,0.0218505859375
0.114,298,452,402,310,-3.0,39.0,35.0,1.0986328125,0.2441406100988388,0.1831054538488388,-0.921630859375,0.3717041015625,0.0218505859375
