time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.009,310,385,467,308,-9.0,47.0,40.0,-1.6479490995407104,-1.5258787870407104,-2.01416015625,-0.78759765625,0.5938720703125,-0.08935546875
0.010,294,385,469,309,-9.0,47.0,40.0,-1.5869139432907104,-1.6479490995407104,-2.13623046875,-0.788330078125,0.593017578125,-0.0904541015625
0.035,310,384,468,308,-9.0,47.0,40.0,-1.2817381620407104,-1.8310545682907104,-2.197265625,-0.7886962890625,0.593017578125,-0.091064453125
0.035,309,384,467,310,-9.0,47.0,40.0,-0.9765624403953552,-2.0751953125,-2.197265625,-0.7877197265625,0.593994140625,-0.0904541015625
0.041,310,381,469,309,-9.0,47.0,40.0,-0.6713866591453552,-2.197265625,-2.25830078125,-0.78564453125,0.5950927734375,-0.0889892578125
0.065,310,384,467,309,-9.0,47.0,40.0,-0.54931640625,-2.25830078125,-2.38037109375,-0.7838134765625,0.5960693359375,-0.087890625
0.065,309,384,463,310,-9.0,47.0,40.0,-0.54931640625,-2.25830078125,-2.50244140625,-0.7841796875,0.5987548828125,-0.087646484375
0.071,310,383,463,310,-9.0,47.0,40.0,-0.6713866591453552,-2.25830078125,-2.685546636581421,-0.7847900390625,0.6014404296875,-0.086669921875
0.084,310,384,456,309,-10.0,44.0,35.0,-0.7934569716453552,-2.197265625,-2.929687261581421,-0.7841796875,0.599365234375,-0.0850830078125
0.092,309,381,452,310,-10.0,44.0,35.0,-0.7934569716453552,-2.0751953125,-3.356933355331421,-0.7841796875,0.5941162109375,-0.0838623046875
0.102,309,382,454,309,-10.0,44.0,35.0,-0.6713866591453552,-1.9531248807907104,-3.723144292831421,-0.7841796875,0.5924072265625,-0.08447265625
0.120,309,379,452,308,-10.0,44.0,35.0,-0.4272460639476776,-1.9531248807907104,-3.967284917831421,-0.7841796875,0.5953369140625,-0.08642578125
0.122,310,378,456,310,-10.0,44.0,35.0,-0.4272460639476776,-2.197265625,-4.33349609375,-0.7855224609375,0.5982666015625,-0.08837890625
0.134,306,374,454,309,-10.0,44.0,35.0,-0.6103515625,-2.50244140625,-4.82177734375,-0.788330078125,0.5992431640625,-0.090576171875
0.168,308,373,456,310,-10.0,44.0,35.0,-0.9765624403953552,-2.807616949081421,-5.187987804412842,-0.7921142578125,0.5980224609375,-0.0928955078125
0.168,308,372,456,310,-10.0,44.0,35.0,-1.5258787870407104,-2.929687261581421,-5.493163585662842,-0.796142578125,0.5933837890625,-0.09423828125
0.168,296,371,456,309,-10.0,44.0,35.0,-2.38037109375,-3.112792730331421,-5.676269054412842,-0.799560546875,0.5872802734375,-0.094970703125
0.169,308,363,452,308,-10.0,44.0,35.0,-3.417968511581421,-3.295898199081421,-5.615233898162842,-0.8001708984375,0.58154296875,-0.0921630859375
0.183,308,372,456,310,-14.0,45.0,36.0,-3.967284917831421,-3.601073980331421,-5.371093273162842,-0.796875,0.5784912109375,-0.0858154296875
0.192,309,367,454,310,-14.0,45.0,36.0,-3.967284917831421,-3.784179449081421,-5.249022960662842,-0.7916259765625,0.579833984375,-0.0806884765625
0.199,309,371,452,310,-14.0,45.0,36.0,-4.0283203125,-3.967284917831421,-5.432128429412842,-0.786376953125,0.585205078125,-0.07958984375
