time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.006,282,905,559,702,-12.0,35.0,17.0,2.13623046875,-13.977049827575684,4.82177734375,-0.87548828125,0.1585693359375,-0.330322265625
0.040,282,890,553,687,-12.0,35.0,17.0,4.45556640625,-14.282225608825684,5.493163585662842,-0.885498046875,0.163330078125,-0.3416748046875
0.040,286,933,571,710,-12.0,35.0,17.0,5.798339366912842,-14.404295921325684,6.042479991912842,-0.893798828125,0.1749267578125,-0.3519287109375
0.040,290,921,586,725,-12.0,29.0,17.0,5.798339366912842,-14.099120140075684,6.469726085662842,-0.90234375,0.182373046875,-0.361083984375
0.049,293,937,586,702,-12.0,29.0,17.0,4.7607421875,-13.610838890075684,6.713866710662842,-0.907958984375,0.177001953125,-0.3643798828125
0.066,294,947,625,749,-12.0,29.0,17.0,3.601073980331421,-13.183592796325684,7.019042491912842,-0.9090576171875,0.1600341796875,-0.3642578125
0.067,277,976,714,749,-12.0,29.0,17.0,2.685546636581421,-13.122557640075684,7.568358898162842,-0.9078369140625,0.144287109375,-0.367919921875
0.079,300,1004,619,728,-12.0,29.0,17.0,1.8920897245407104,-13.732909202575684,8.72802734375,-0.9034423828125,0.1439208984375,-0.370361328125
0.088,304,1005,660,782,-12.0,29.0,17.0,1.5258787870407104,-14.892577171325684,10.131834983825684,-0.896728515625,0.1561279296875,-0.3671875
0.096,306,1031,677,799,-12.0,29.0,17.0,1.5869139432907104,-16.29638671875,11.352538108825684,-0.891845703125,0.171142578125,-0.363525390625
0.110,308,1066,668,766,-12.0,29.0,17.0,1.4038084745407104,-17.39501953125,12.023924827575684,-0.89208984375,0.18505859375,-0.3609619140625
0.155,313,1082,697,826,-12.0,29.0,17.0,0.7934569716453552,-18.12744140625,12.084959983825684,-0.89404296875,0.1954345703125,-0.35205078125
0.155,308,1172,802,720,-12.0,29.0,17.0,0.30517578125,-18.5546875,11.596678733825684,-0.8916015625,0.197265625,-0.334716796875
0.155,318,1173,713,849,-13.0,33.0,21.0,0.6103515625,-18.6767578125,10.742186546325684,-0.8880615234375,0.187744140625,-0.326171875
0.155,324,1185,737,869,-13.0,33.0,21.0,1.5258787870407104,-18.6767578125,10.009765625,-0.88671875,0.177490234375,-0.329833984375
0.156,310,1191,723,886,-13.0,33.0,21.0,1.9531248807907104,-19.04296875,10.070799827575684,-0.8848876953125,0.1793212890625,-0.3291015625
0.175,328,1280,744,860,-13.0,33.0,21.0,1.0986328125,-19.6533203125,10.864256858825684,-0.88330078125,0.19873046875,-0.3214111328125
0.178,332,1330,788,946,-13.0,33.0,21.0,-1.3427733182907104,-20.01953125,11.962889671325684,-0.88037109375,0.22265625,-0.310791015625
0.189,344,1357,840,974,-13.0,33.0,21.0,-4.8828125,-19.83642578125,12.817381858825684,-0.8699951171875,0.2325439453125,-0.2879638671875
0.200,352,1443,829,939,-13.0,33.0,21.0,-8.056640625,-19.4091796875,13.000487327575684,-0.8475341796875,0.230224609375,-0.25439453125
0.208,361,1494,888,1037,-13.0,33.0,21.0,-9.46044921875,-18.6767578125,12.573241233825684,-0.82373046875,0.2181396484375,-0.229248046875
0.216,363,1544,902,1054,-13.0,33.0,21.0,-8.4228515625,-17.7001953125,12.023924827575684,-0.827880859375,0.2027587890625,-0.2205810546875
0.243,362,1650,897,1000,-11.0,32.0,17.0,-5.554198741912842,-16.9677734375,12.329100608825684,-0.8505859375,0.1983642578125,-0.22216796875
0.243,371,1716,958,1112,-11.0,32.0,17.0,-2.3193359375,-17.39501953125,13.488768577575684,-0.85107421875,0.20263671875,-0.2291259765625
0.246,375,1766,988,1147,-11.0,32.0,17.0,0.0610351525247097,-18.98193359375,14.953612327575684,-0.820556640625,0.213134765625,-0.2352294921875
0.260,382,1806,973,1108,-11.0,32.0,17.0,2.44140625,-21.789548873901367,15.747069358825684,-0.7864990234375,0.203857421875,-0.2564697265625
0.273,378,1874,1079,1198,-11.0,32.0,17.0,6.408690929412842,-25.390623092651367,15.319823265075684,-0.759521484375,0.160888671875,-0.2708740234375
0.276,387,1925,1112,1237,-11.0,32.0,17.0,11.657713890075684,-29.174802780151367,14.343260765075684,-0.7818603515625,0.1556396484375,-0.26171875
0.290,400,1943,1097,1198,-11.0,32.0,17.0,16.41845703125,-32.28759765625,13.671874046325684,-0.84228515625,0.2080078125,-0.269775390625
0.298,404,1978,1209,1323,-11.0,32.0,17.0,15.869139671325684,-34.48486328125,13.488768577575684,-0.83837890625,0.22509765625,-0.255859375
0.308,411,2008,1239,1355,-11.0,32.0,17.0,10.498045921325684,-34.7900390625,14.587401390075684,-0.7734375,0.171142578125,-0.2147216796875
0.320,413,2047,1250,1283,-11.0,32.0,17.0,7.385253429412842,-33.38623046875,18.310546875,-0.72509765625,0.1322021484375,-0.19677734375
0.346,424,2080,1369,1443,-9.0,32.0,18.0,7.324218273162842,-32.2265625,22.827146530151367,-0.7220458984375,0.1832275390625,-0.197265625
0.347,430,2254,1282,1388,-9.0,32.0,18.0,5.493163585662842,-31.555173873901367,24.108884811401367,-0.76513671875,0.2886962890625,-0.2076416015625
0.350,428,2155,1397,1366,-9.0,32.0,18.0,0.54931640625,-29.846189498901367,20.263669967651367,-0.8531494140625,0.3626708984375,-0.2236328125
0.358,460,2161,1488,1529,-9.0,32.0,18.0,-4.69970703125,-27.099607467651367,13.916014671325684,-0.955810546875,0.4010009765625,-0.2518310546875
0.366,464,2139,1529,1569,-9.0,32.0,18.0,-4.69970703125,-27.099607467651367,13.916014671325684,-1.0262451171875,0.4300537109375,-0.293701171875
0.380,464,2167,1488,1452,-9.0,32.0,18.0,-3.540038824081421,-26.733396530151367,4.57763671875,-1.0460205078125,0.45751953125,-0.3287353515625
0.388,469,2192,1590,1588,-9.0,32.0,18.0,0.3662109076976776,-29.785154342651367,1.4038084745407104,-1.0460205078125,0.4825439453125,-0.355224609375
0.396,442,2253,1624,1555,-9.0,32.0,18.0,0.3662109076976776,-29.785154342651367,1.4038084745407104,-1.1094970703125,0.40087890625,-0.396484375
0.410,468,2207,1523,1481,-9.0,32.0,18.0,-1.6479490995407104,-27.709959030151367,-5.615233898162842,-1.274658203125,0.175048828125,-0.4031982421875
0.418,490,2170,1595,1678,-9.0,32.0,18.0,-4.7607421875,-21.057126998901367,-5.859374523162842,-1.4915771484375,-0.0277099609375,-0.305419921875
0.433,493,2230,1611,1543,-9.0,32.0,28.0,-4.7607421875,-21.057126998901367,-5.859374523162842,-1.5599365234375,-0.0875244140625,-0.1063232421875
0.476,490,2263,1506,1531,-9.0,32.0,28.0,-13.244627952575684,-9.82666015625,7.324218273162842,-1.367919921875,0.0302734375,-0.01220703125
0.476,473,2337,1624,1622,-9.0,32.0,28.0,-8.97216796875,-6.774901866912842,13.305663108825684,-1.12548828125,0.2926025390625,-0.1968994140625
0.476,473,2347,1610,1624,-9.0,32.0,28.0,-8.97216796875,-6.774901866912842,13.305663108825684,-1.01025390625,0.5186767578125,-0.4578857421875
0.477,456,2347,1550,1453,-9.0,32.0,28.0,6.042479991912842,-9.27734375,3.662109136581421,-0.9876708984375,0.5335693359375,-0.51806640625
0.478,414,2627,1456,1453,-9.0,32.0,28.0,5.065917491912842,-15.441893577575684,-6.835937023162842,-1.0174560546875,0.3988037109375,-0.3970947265625
0.486,455,2293,1635,1598,-9.0,32.0,28.0,5.065917491912842,-15.441893577575684,-6.835937023162842,-1.128662109375,0.2884521484375,-0.265380859375
0.499,458,2246,1536,1455,-9.0,32.0,28.0,-5.0048828125,-19.83642578125,-14.343260765075684,-1.244384765625,0.2269287109375,-0.1435546875
0.509,475,2207,1611,1604,-9.0,32.0,28.0,-11.169432640075684,-15.380858421325684,-10.742186546325684,-1.2530517578125,0.199951171875,-0.018310546875
0.516,473,2183,1602,1596,-9.0,32.0,28.0,-11.169432640075684,-15.380858421325684,-10.742186546325684,-1.1866455078125,0.24755859375,0.031494140625
0.552,465,2133,1499,1455,-12.0,29.0,24.0,-9.765625,1.220703125,-2.746581792831421,-1.1390380859375,0.3367919921875,-0.0196533203125
0.552,466,2442,1383,1156,-12.0,29.0,24.0,-5.126952648162842,8.85009765625,-2.990722417831421,-1.138671875,0.374755859375,-0.1229248046875
0.553,464,2217,1404,1494,-12.0,29.0,24.0,-5.126952648162842,8.85009765625,-2.990722417831421,-1.1551513671875,0.338623046875,-0.2379150390625
0.560,441,2035,1430,1352,-12.0,29.0,24.0,3.845214605331421,14.038084983825684,-11.596678733825684,-1.155517578125,0.277587890625,-0.3338623046875
0.568,442,1969,1454,1464,-12.0,29.0,24.0,6.042479991912842,12.634276390075684,-15.075682640075684,-1.138427734375,0.24951171875,-0.4033203125
0.576,438,1927,1411,1424,-12.0,29.0,24.0,6.042479991912842,12.634276390075684,-15.075682640075684,-1.119384765625,0.2576904296875,-0.4521484375
0.593,411,1874,1267,1226,-12.0,29.0,24.0,0.0,8.1787109375,-18.61572265625,-1.08984375,0.2474365234375,-0.4599609375
0.598,402,1822,1278,1287,-12.0,29.0,24.0,0.0,8.1787109375,-18.61572265625,-1.0499267578125,0.20556640625,-0.428466796875
0.606,390,1769,1213,1206,-12.0,29.0,24.0,-6.835937023162842,6.652831554412842,-21.118162155151367,-1.0499267578125,0.20556640625,-0.428466796875
0.622,371,1600,1056,1038,-12.0,29.0,24.0,-17.333984375,7.202147960662842,-26.489255905151367,-0.9599609375,0.1612548828125,-0.29052734375
0.628,372,1399,1051,1078,-13.0,29.0,20.0,-17.333984375,7.202147960662842,-26.489255905151367,-0.9117431640625,0.1448974609375,-0.1788330078125
0.654,357,1274,984,1004,-13.0,29.0,20.0,-19.22607421875,6.896972179412842,-28.503416061401367,-0.9117431640625,0.1448974609375,-0.1788330078125
0.654,334,1076,849,728,-13.0,29.0,20.0,-13.793944358825684,0.2441406100988388,-32.470703125,-0.8173828125,0.1197509765625,0.010009765625
0.658,316,936,767,806,-13.0,29.0,20.0,-13.793944358825684,0.2441406100988388,-32.470703125,-0.796875,0.1160888671875,0.0130615234375
0.666,299,815,692,740,-13.0,29.0,20.0,-9.1552734375,-3.540038824081421,-31.982419967651367,-0.796875,0.1160888671875,0.0130615234375
0.680,277,683,576,620,-13.0,29.0,20.0,-2.807616949081421,-4.2724609375,-29.479978561401367,-0.74462890625,0.157470703125,-0.080810546875
0.688,273,643,567,630,-13.0,29.0,20.0,-2.807616949081421,-4.2724609375,-29.479978561401367,-0.676025390625,0.23486328125,-0.1123046875
0.700,268,669,553,629,-13.0,29.0,20.0,-6.713866710662842,-2.807616949081421,-26.000974655151367,-0.676025390625,0.23486328125,-0.1123046875
0.710,268,645,548,601,-13.0,29.0,20.0,-17.76123046875,-0.2441406100988388,-17.9443359375,-0.660400390625,0.260009765625,-0.1763916015625
0.718,268,644,561,625,-13.0,29.0,20.0,-17.76123046875,-0.2441406100988388,-17.9443359375,-0.6619873046875,0.1907958984375,-0.182373046875
0.760,265,682,555,614,-9.0,27.0,23.0,-10.681151390075684,-3.906249761581421,-12.634276390075684,-0.6446533203125,0.0494384765625,-0.1427001953125
0.760,268,693,533,618,-9.0,27.0,23.0,-10.681151390075684,-3.906249761581421,-12.634276390075684,-0.6319580078125,0.0413818359375,-0.130615234375
0.760,256,685,603,582,-9.0,27.0,23.0,-3.479003667831421,-3.906249761581421,-8.23974609375,-0.6319580078125,0.0413818359375,-0.130615234375
0.770,274,757,555,630,-9.0,27.0,23.0,7.629394054412842,-3.173827886581421,1.0986328125,-0.6541748046875,-0.0152587890625,-0.0584716796875
0.778,280,788,580,682,-9.0,27.0,23.0,7.629394054412842,-3.173827886581421,1.0986328125,-0.65380859375,-0.0413818359375,-0.02294921875
0.786,280,833,628,698,-9.0,27.0,23.0,14.831542015075684,-2.746581792831421,5.981444835662842,-0.65380859375,-0.0413818359375,-0.02294921875
0.806,304,968,714,738,-9.0,27.0,23.0,31.188962936401367,0.3662109076976776,20.751951217651367,-0.652099609375,0.1142578125,-0.057373046875
0.808,290,1183,733,834,-9.0,27.0,23.0,31.188962936401367,0.3662109076976776,20.751951217651367,-0.67236328125,0.197509765625,-0.1180419921875
0.816,324,1207,841,913,-9.0,27.0,23.0,33.02001953125,1.6479490995407104,27.038572311401367,-0.67236328125,0.197509765625,-0.1180419921875
0.872,348,1404,933,949,-11.0,32.0,19.0,29.479978561401367,3.295898199081421,29.907224655151367,-0.7515869140625,0.2237548828125,-0.3082275390625
