time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.008,263,1709,321,830,9.0,26.0,16.0,3.540038824081421,-0.2441406100988388,-3.173827886581421,-0.9498291015625,0.2982177734375,0.0302734375
0.017,268,1600,372,859,9.0,26.0,16.0,4.39453125,-0.0610351525247097,-3.906249761581421,-0.9498291015625,0.2982177734375,0.0302734375
0.024,268,1596,371,860,9.0,26.0,16.0,4.638671875,0.0,-4.2724609375,-0.946044921875,0.2861328125,0.0277099609375
0.038,267,1592,344,816,9.0,26.0,16.0,4.33349609375,0.0,-4.33349609375,-0.94287109375,0.2774658203125,0.0299072265625
0.046,267,1595,371,871,9.0,26.0,16.0,4.0283203125,-0.30517578125,-4.2724609375,-0.9405517578125,0.275146484375,0.0361328125
0.061,268,1600,372,871,9.0,26.0,16.0,3.967284917831421,-0.9155272841453552,-4.2724609375,-0.9429931640625,0.277099609375,0.040283203125
0.068,268,1610,360,816,9.0,26.0,16.0,3.906249761581421,-1.7700194120407104,-4.45556640625,-0.9471435546875,0.280029296875,0.040771484375
0.076,268,1613,375,867,8.0,30.0,21.0,3.479003667831421,-2.685546636581421,-4.57763671875,-0.94921875,0.2769775390625,0.0352783203125
0.098,272,1608,377,872,8.0,30.0,21.0,2.868652105331421,-3.356933355331421,-4.69970703125,-0.9483642578125,0.2679443359375,0.0289306640625
0.098,272,1635,347,814,8.0,30.0,21.0,2.13623046875,-3.723144292831421,-4.45556640625,-0.9495849609375,0.2598876953125,0.0303955078125
0.106,272,1632,378,860,8.0,30.0,21.0,1.4038084745407104,-3.906249761581421,-3.845214605331421,-0.9554443359375,0.26171875,0.0377197265625
0.115,275,1641,388,859,8.0,30.0,21.0,0.6713866591453552,-3.784179449081421,-2.868652105331421,-0.9605712890625,0.2705078125,0.04931640625
0.128,279,1762,380,737,8.0,30.0,21.0,-0.0610351525247097,-3.356933355331421,-1.8310545682907104,-0.962890625,0.2735595703125,0.0587158203125
0.142,279,1756,424,792,8.0,30.0,21.0,-0.1831054538488388,-2.563476324081421,-0.9765624403953552,-0.9560546875,0.27197265625,0.0616455078125
0.148,277,1708,406,826,8.0,30.0,21.0,0.54931640625,-1.7700194120407104,-0.54931640625,-0.9456787109375,0.267822265625,0.0595703125
0.175,276,1719,383,762,8.0,30.0,21.0,1.5869139432907104,-1.2817381620407104,-0.4882812201976776,-0.9410400390625,0.26513671875,0.0540771484375
0.219,275,1715,411,827,7.0,26.0,22.0,2.685546636581421,-1.2817381620407104,-0.8544921278953552,-0.9393310546875,0.2796630859375,0.0460205078125
0.219,277,1722,404,775,7.0,26.0,22.0,3.173827886581421,-1.3427733182907104,-1.2817381620407104,-0.9437255859375,0.28564453125,0.049072265625
0.220,277,1733,401,800,7.0,26.0,22.0,4.0283203125,-1.220703125,-1.7700194120407104,-0.953857421875,0.28662109375,0.0565185546875
0.220,280,1727,402,802,7.0,26.0,22.0,5.065917491912842,-0.9155272841453552,-2.0751953125,-0.9619140625,0.2857666015625,0.0616455078125
0.220,278,1718,388,782,7.0,26.0,22.0,5.615233898162842,-0.54931640625,-2.13623046875,-0.966064453125,0.2841796875,0.05859375
0.250,278,1733,423,834,7.0,26.0,22.0,5.371093273162842,-0.2441406100988388,-2.197265625,-0.96923828125,0.279541015625,0.051513671875
0.251,277,1735,418,806,7.0,26.0,22.0,4.638671875,-0.0610351525247097,-2.197265625,-0.968994140625,0.272216796875,0.042236328125
0.251,279,1732,411,788,7.0,26.0,22.0,3.723144292831421,-0.0610351525247097,-2.01416015625,-0.96826171875,0.265380859375,0.0301513671875
0.262,278,1746,424,837,7.0,26.0,22.0,2.563476324081421,-0.30517578125,-1.7089842557907104,-0.9691162109375,0.2607421875,0.022216796875
0.272,279,1739,424,844,7.0,26.0,22.0,1.4038084745407104,-0.9155272841453552,-1.3427733182907104,-0.968017578125,0.260498046875,0.0220947265625
0.304,279,1757,415,843,8.0,29.0,27.0,0.6103515625,-1.8310545682907104,-0.9765624403953552,-0.9664306640625,0.2650146484375,0.025634765625
0.304,279,1773,430,827,8.0,29.0,27.0,0.0610351525247097,-2.685546636581421,-0.9155272841453552,-0.9666748046875,0.2724609375,0.0289306640625
0.304,280,1770,430,829,8.0,29.0,27.0,-0.54931640625,-3.356933355331421,-1.0986328125,-0.964599609375,0.277587890625,0.0340576171875
0.308,280,1779,404,778,8.0,29.0,27.0,-1.5258787870407104,-3.601073980331421,-1.4038084745407104,-0.95703125,0.2772216796875,0.0413818359375
0.316,280,1811,453,803,8.0,29.0,27.0,-2.685546636581421,-3.356933355331421,-1.5869139432907104,-0.9459228515625,0.272705078125,0.0487060546875
0.324,280,1801,439,816,8.0,29.0,27.0,-3.845214605331421,-2.929687261581421,-1.5869139432907104,-0.9337158203125,0.26708984375,0.05615234375
0.338,280,1790,400,774,8.0,29.0,27.0,-4.45556640625,-2.50244140625,-1.5869139432907104,-0.92431640625,0.2623291015625,0.0634765625
0.346,280,1803,445,814,8.0,29.0,27.0,-4.0283203125,-2.197265625,-1.7089842557907104,-0.924560546875,0.263427734375,0.0655517578125
0.354,279,1789,437,840,8.0,29.0,27.0,-2.50244140625,-1.8310545682907104,-1.9531248807907104,-0.9351806640625,0.2701416015625,0.064208984375
0.368,280,1766,390,803,9.0,30.0,23.0,-0.7324218153953552,-1.5869139432907104,-2.01416015625,-0.95166015625,0.27734375,0.065185546875
0.379,280,1761,416,867,9.0,30.0,23.0,0.9155272841453552,-1.2817381620407104,-1.6479490995407104,-0.96533203125,0.2825927734375,0.066650390625
0.417,279,1816,371,853,9.0,30.0,23.0,2.25830078125,-0.7324218153953552,-0.9765624403953552,-0.9683837890625,0.28564453125,0.065185546875
0.434,280,1899,430,705,9.0,30.0,23.0,2.990722417831421,-0.3662109076976776,-0.7934569716453552,-0.9639892578125,0.2855224609375,0.0599365234375
0.437,281,1895,473,765,9.0,30.0,23.0,3.112792730331421,-0.3662109076976776,-1.4038084745407104,-0.9620361328125,0.276611328125,0.0555419921875
0.437,282,1908,479,759,9.0,30.0,23.0,2.929687261581421,-0.4882812201976776,-2.3193359375,-0.96533203125,0.2626953125,0.0546875
0.438,282,1904,433,707,9.0,30.0,23.0,3.051757574081421,-0.4882812201976776,-2.746581792831421,-0.96826171875,0.2550048828125,0.0537109375
0.438,282,1905,481,766,9.0,30.0,23.0,3.479003667831421,-0.4272460639476776,-2.563476324081421,-0.9697265625,0.254150390625,0.05224609375
0.444,280,1904,481,772,9.0,30.0,23.0,3.784179449081421,-0.54931640625,-2.01416015625,-0.9708251953125,0.2581787109375,0.0509033203125
0.462,280,1798,402,803,9.0,30.0,23.0,3.540038824081421,-0.6713866591453552,-1.2817381620407104,-0.96875,0.2628173828125,0.048828125
0.466,280,1869,388,858,10.0,29.0,26.0,2.624511480331421,-0.6713866591453552,-0.6713866591453552,-0.9635009765625,0.2630615234375,0.0472412109375
0.474,280,1779,434,884,10.0,29.0,26.0,1.5258787870407104,-0.54931640625,-0.2441406100988388,-0.95703125,0.260498046875,0.049560546875
0.488,279,1794,387,811,10.0,29.0,26.0,0.7934569716453552,-0.4272460639476776,0.0,-0.9501953125,0.26025390625,0.0545654296875
0.513,281,1775,430,885,10.0,29.0,26.0,0.7934569716453552,-0.54931640625,-0.0610351525247097,-0.9466552734375,0.26416015625,0.056396484375
0.514,280,1786,431,882,10.0,29.0,26.0,0.7934569716453552,-0.54931640625,-0.0610351525247097,-0.9478759765625,0.26953125,0.0533447265625
0.518,281,1794,399,814,10.0,29.0,26.0,1.5258787870407104,-0.9155272841453552,-0.4272460639476776,-0.9501953125,0.2738037109375,0.04638671875
0.526,280,1781,437,890,10.0,29.0,26.0,1.0986328125,-0.8544921278953552,-0.54931640625,-0.9530029296875,0.27392578125,0.039306640625
0.534,282,1785,434,888,10.0,29.0,26.0,1.0986328125,-0.8544921278953552,-0.54931640625,-0.9539794921875,0.2696533203125,0.0369873046875
0.548,282,1786,402,820,10.0,29.0,26.0,-0.7934569716453552,-0.7324218153953552,-0.4272460639476776,-0.9532470703125,0.264404296875,0.041015625
0.556,280,1838,456,846,10.0,29.0,26.0,-1.0986328125,-0.8544921278953552,-0.1831054538488388,-0.9539794921875,0.2633056640625,0.0498046875
0.568,279,1801,439,879,11.0,27.0,20.0,-1.0986328125,-0.8544921278953552,-0.1831054538488388,-0.9569091796875,0.2677001953125,0.0574951171875
