time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.004,282,1914,661,548,16.0,30.0,13.0,0.30517578125,0.1831054538488388,0.4272460639476776,-0.896728515625,0.3812255859375,0.186767578125
0.012,286,1920,678,591,16.0,30.0,13.0,0.30517578125,0.2441406100988388,0.3662109076976776,-0.8966064453125,0.3818359375,0.1875
0.019,287,1959,636,600,16.0,30.0,13.0,0.30517578125,0.2441406100988388,0.3662109076976776,-0.8961181640625,0.3807373046875,0.186767578125
0.043,289,1914,639,546,15.0,32.0,12.0,0.2441406100988388,0.4272460639476776,0.2441406100988388,-0.8963623046875,0.3797607421875,0.1856689453125
0.044,281,1906,678,601,15.0,32.0,12.0,0.2441406100988388,0.4272460639476776,0.2441406100988388,-0.89697265625,0.3802490234375,0.184814453125
0.049,286,1914,679,591,15.0,32.0,12.0,0.1220703050494194,0.54931640625,0.2441406100988388,-0.89697265625,0.3802490234375,0.184814453125
0.064,289,1914,639,541,15.0,32.0,12.0,0.1831054538488388,0.54931640625,0.1831054538488388,-0.8966064453125,0.3802490234375,0.18359375
0.071,282,1914,678,593,15.0,32.0,12.0,0.1831054538488388,0.54931640625,0.1831054538488388,-0.8955078125,0.380615234375,0.1854248046875
0.088,283,1915,682,591,15.0,32.0,12.0,0.2441406100988388,0.4882812201976776,0.1831054538488388,-0.8955078125,0.380615234375,0.1854248046875
0.093,281,1920,644,543,15.0,32.0,12.0,0.3662109076976776,0.4272460639476776,0.0,-0.895263671875,0.381591796875,0.1837158203125
0.101,282,1918,679,593,15.0,32.0,12.0,0.3662109076976776,0.4272460639476776,0.0,-0.896240234375,0.381103515625,0.1812744140625
0.110,282,1920,675,594,15.0,32.0,12.0,0.1831054538488388,0.4882812201976776,-0.1220703050494194,-0.896240234375,0.381103515625,0.1812744140625
0.123,287,1920,640,541,15.0,32.0,12.0,-0.1831054538488388,0.30517578125,-0.0610351525247097,-0.8966064453125,0.3778076171875,0.1759033203125
0.147,282,1920,683,590,12.0,31.0,14.0,-0.1831054538488388,0.30517578125,-0.0610351525247097,-0.898193359375,0.3765869140625,0.17724609375
0.147,283,1934,683,601,12.0,31.0,14.0,-0.30517578125,0.0610351525247097,0.0610351525247097,-0.898193359375,0.3765869140625,0.17724609375
0.153,286,1918,687,594,12.0,31.0,14.0,-0.3662109076976776,-0.4882812201976776,0.2441406100988388,-0.8997802734375,0.37841796875,0.182861328125
0.161,286,1918,688,593,12.0,31.0,14.0,-0.3662109076976776,-0.4882812201976776,0.2441406100988388,-0.898193359375,0.38037109375,0.18408203125
0.169,286,1920,682,594,12.0,31.0,14.0,-0.3662109076976776,-0.6103515625,0.1831054538488388,-0.898193359375,0.38037109375,0.18408203125
0.188,286,1920,648,541,12.0,31.0,14.0,-0.30517578125,-0.54931640625,0.2441406100988388,-0.89697265625,0.3798828125,0.1856689453125
0.198,286,1918,683,594,12.0,31.0,14.0,-0.30517578125,-0.54931640625,0.2441406100988388,-0.8970947265625,0.37841796875,0.1866455078125
0.199,289,1920,689,591,12.0,31.0,14.0,-0.2441406100988388,-0.54931640625,0.3662109076976776,-0.8970947265625,0.37841796875,0.1866455078125
0.214,282,1918,648,569,12.0,31.0,14.0,0.1831054538488388,-0.4882812201976776,0.4272460639476776,-0.897216796875,0.380126953125,0.189208984375
0.221,286,1918,687,593,12.0,31.0,14.0,0.1831054538488388,-0.4882812201976776,0.4272460639476776,-0.896728515625,0.3817138671875,0.1881103515625
0.229,286,1920,687,593,10.0,32.0,12.0,0.30517578125,-0.30517578125,0.30517578125,-0.896728515625,0.3817138671875,0.1881103515625
0.249,287,1920,644,543,10.0,32.0,12.0,0.2441406100988388,-0.1220703050494194,0.1220703050494194,-0.89453125,0.3828125,0.184326171875
0.251,286,1921,684,593,10.0,32.0,12.0,0.2441406100988388,0.0610351525247097,0.0,-0.89453125,0.3828125,0.184326171875
0.259,289,1920,689,593,10.0,32.0,12.0,0.3662109076976776,0.0610351525247097,-0.1220703050494194,-0.894775390625,0.3831787109375,0.1844482421875
0.273,286,1922,648,543,10.0,32.0,12.0,0.54931640625,0.0610351525247097,-0.3662109076976776,-0.8980712890625,0.381103515625,0.180419921875
0.281,286,1922,689,593,10.0,32.0,12.0,0.54931640625,0.0,-0.6103515625,-0.8980712890625,0.381103515625,0.180419921875
0.294,287,1922,689,594,10.0,32.0,12.0,0.1220703050494194,-0.0610351525247097,-0.6713866591453552,-0.8988037109375,0.379150390625,0.1790771484375
0.303,282,1920,656,547,10.0,32.0,12.0,-0.30517578125,-0.1220703050494194,-0.6103515625,-0.8990478515625,0.3787841796875,0.181396484375
0.312,286,1922,691,594,10.0,32.0,12.0,-0.54931640625,-0.2441406100988388,-0.4882812201976776,-0.8990478515625,0.3787841796875,0.181396484375
0.319,286,1920,682,596,10.0,32.0,12.0,-0.54931640625,-0.4272460639476776,-0.3662109076976776,-0.89892578125,0.377685546875,0.1817626953125
0.333,282,1920,648,546,11.0,31.0,15.0,-0.4882812201976776,-0.6713866591453552,-0.1831054538488388,-0.8992919921875,0.3787841796875,0.1842041015625
0.351,286,1914,683,594,11.0,31.0,15.0,-0.4272460639476776,-0.8544921278953552,-0.1220703050494194,-0.8992919921875,0.3787841796875,0.1842041015625
0.351,286,1905,689,604,11.0,31.0,15.0,-0.4272460639476776,-0.7934569716453552,-0.1220703050494194,-0.8983154296875,0.380126953125,0.1866455078125
0.363,282,1904,648,551,11.0,31.0,15.0,-0.4272460639476776,-0.6103515625,-0.2441406100988388,-0.894775390625,0.3809814453125,0.19189453125
0.372,282,1912,683,594,11.0,31.0,15.0,-0.3662109076976776,-0.3662109076976776,-0.4272460639476776,-0.894775390625,0.3809814453125,0.19189453125
0.380,286,1931,684,594,11.0,31.0,15.0,-0.30517578125,-0.1220703050494194,-0.6103515625,-0.89404296875,0.3792724609375,0.1920166015625
0.393,282,1914,649,541,11.0,31.0,15.0,-0.0610351525247097,0.0610351525247097,-0.7324218153953552,-0.89599609375,0.3779296875,0.18896484375
0.402,280,1920,689,588,11.0,31.0,15.0,0.1831054538488388,0.1831054538488388,-0.7934569716453552,-0.89599609375,0.3779296875,0.18896484375
0.410,286,1922,683,589,11.0,31.0,15.0,0.4272460639476776,0.30517578125,-0.9155272841453552,-0.89599609375,0.379638671875,0.1876220703125
0.423,286,1915,653,548,13.0,32.0,15.0,0.7934569716453552,0.30517578125,-1.03759765625,-0.9000244140625,0.38623046875,0.1884765625
0.432,282,1918,684,590,13.0,32.0,15.0,1.220703125,0.3662109076976776,-1.220703125,-0.9000244140625,0.38623046875,0.1884765625
0.454,282,1914,682,591,13.0,32.0,15.0,1.4038084745407104,0.4882812201976776,-1.5258787870407104,-0.90283203125,0.387451171875,0.1875
0.454,289,1900,633,548,13.0,32.0,15.0,1.3427733182907104,0.7324218153953552,-1.8310545682907104,-0.9027099609375,0.3828125,0.1878662109375
0.461,282,1904,675,593,13.0,32.0,15.0,1.4038084745407104,0.9155272841453552,-2.197265625,-0.9027099609375,0.3828125,0.1878662109375
0.469,282,1904,666,593,13.0,32.0,15.0,1.7089842557907104,1.0986328125,-2.563476324081421,-0.899658203125,0.3779296875,0.1883544921875
0.483,289,1900,630,545,13.0,32.0,15.0,2.13623046875,1.4038084745407104,-2.868652105331421,-0.8973388671875,0.3741455078125,0.189208984375
0.491,286,1904,666,590,13.0,32.0,15.0,2.50244140625,1.5869139432907104,-3.112792730331421,-0.89599609375,0.37158203125,0.1888427734375
0.499,286,1908,673,582,13.0,32.0,15.0,2.807616949081421,1.6479490995407104,-3.295898199081421,-0.8955078125,0.3701171875,0.18505859375
0.514,289,1907,631,536,13.0,32.0,15.0,2.990722417831421,1.5869139432907104,-3.234863042831421,-0.8958740234375,0.36865234375,0.18212890625
0.521,286,1927,673,577,14.0,33.0,10.0,3.295898199081421,1.4038084745407104,-3.051757574081421,-0.89599609375,0.367431640625,0.18310546875
0.536,286,1912,673,578,14.0,33.0,10.0,3.479003667831421,1.15966796875,-2.868652105331421,-0.89697265625,0.3707275390625,0.1812744140625
0.560,282,1914,630,533,14.0,33.0,10.0,3.356933355331421,0.9155272841453552,-2.563476324081421,-0.8985595703125,0.37255859375,0.1768798828125
0.560,289,1922,660,590,14.0,33.0,10.0,2.990722417831421,0.6103515625,-2.3193359375,-0.9007568359375,0.3692626953125,0.1732177734375
0.560,287,1918,666,531,14.0,33.0,10.0,2.50244140625,0.1831054538488388,-1.8310545682907104,-0.904052734375,0.3702392578125,0.1680908203125
0.573,287,1918,625,532,14.0,33.0,10.0,2.0751953125,-0.2441406100988388,-1.3427733182907104,-0.9049072265625,0.375,0.169189453125
0.581,282,1920,667,570,14.0,33.0,10.0,1.4038084745407104,-0.6713866591453552,-1.03759765625,-0.9024658203125,0.37890625,0.1781005859375
0.589,289,1941,680,553,14.0,33.0,10.0,0.4882812201976776,-0.6713866591453552,-0.9155272841453552,-0.9024658203125,0.3912353515625,0.1827392578125
0.603,289,1929,636,519,14.0,33.0,10.0,-0.3662109076976776,-0.54931640625,-1.3427733182907104,-0.9053955078125,0.4034423828125,0.1812744140625
0.615,286,1925,667,562,14.0,33.0,10.0,-1.220703125,-0.4272460639476776,-2.3193359375,-0.9058837890625,0.3997802734375,0.1749267578125
0.620,286,1935,660,562,14.0,30.0,10.0,-1.9531248807907104,-0.4272460639476776,-3.479003667831421,-0.9049072265625,0.3897705078125,0.1661376953125
0.633,289,1914,667,561,14.0,30.0,10.0,-2.38037109375,-0.6713866591453552,-4.150390625,-0.9049072265625,0.383056640625,0.1630859375
0.658,286,1914,656,561,14.0,30.0,10.0,-3.051757574081421,-0.9765624403953552,-4.33349609375,-0.90185546875,0.3756103515625,0.171875
0.658,287,1920,653,559,14.0,30.0,10.0,-4.2724609375,-0.7934569716453552,-4.08935546875,-0.894287109375,0.3648681640625,0.1907958984375
0.663,289,1922,631,518,14.0,30.0,10.0,-6.042479991912842,0.0610351525247097,-3.784179449081421,-0.8880615234375,0.3568115234375,0.20654296875
0.672,286,1929,656,559,14.0,30.0,10.0,-7.873534679412842,1.4038084745407104,-3.662109136581421,-0.886962890625,0.357666015625,0.20703125
0.681,286,1931,658,561,14.0,30.0,10.0,-9.09423828125,2.563476324081421,-3.845214605331421,-0.890869140625,0.3648681640625,0.1942138671875
0.693,286,1943,625,516,14.0,30.0,10.0,-8.97216796875,2.868652105331421,-4.39453125,-0.8990478515625,0.372314453125,0.1785888671875
0.701,286,1936,660,572,14.0,30.0,10.0,-8.056640625,2.44140625,-5.0048828125,-0.907470703125,0.3798828125,0.1639404296875
0.710,286,1929,654,578,14.0,30.0,10.0,-6.835937023162842,1.5258787870407104,-5.554198741912842,-0.912353515625,0.3807373046875,0.1563720703125
0.723,287,1941,631,525,12.0,34.0,11.0,-5.737304210662842,0.3662109076976776,-6.164550304412842,-0.916015625,0.370849609375,0.158203125
0.731,286,1927,660,579,12.0,34.0,11.0,-5.0048828125,-0.9155272841453552,-6.591796398162842,-0.9183349609375,0.35888671875,0.16357421875
0.740,286,1931,671,572,12.0,34.0,11.0,-4.7607421875,-1.9531248807907104,-6.469726085662842,-0.9176025390625,0.3480224609375,0.17138671875
0.765,287,1920,631,527,12.0,34.0,11.0,-5.187987804412842,-2.563476324081421,-5.920409679412842,-0.913330078125,0.3409423828125,0.18017578125
0.765,286,1905,667,586,12.0,34.0,11.0,-6.164550304412842,-2.685546636581421,-5.187987804412842,-0.9068603515625,0.3402099609375,0.1884765625
0.769,289,1914,673,578,12.0,34.0,11.0,-6.774901866912842,-2.563476324081421,-4.5166015625,-0.90185546875,0.3416748046875,0.196533203125
0.783,287,1908,630,533,12.0,34.0,11.0,-6.408690929412842,-2.685546636581421,-4.150390625,-0.901123046875,0.3448486328125,0.1978759765625
0.791,289,1912,667,585,12.0,34.0,11.0,-4.94384765625,-3.112792730331421,-3.845214605331421,-0.9039306640625,0.3494873046875,0.192626953125
0.799,289,1908,660,587,12.0,34.0,11.0,-2.807616949081421,-4.08935546875,-3.723144292831421,-0.9049072265625,0.3521728515625,0.1904296875
0.814,289,1888,605,571,12.0,34.0,11.0,-0.6713866591453552,-5.187987804412842,-3.784179449081421,-0.901123046875,0.350830078125,0.1954345703125
0.827,282,1904,625,646,14.0,30.0,8.0,1.0986328125,-5.920409679412842,-4.150390625,-0.8936767578125,0.3519287109375,0.2027587890625
0.832,286,1902,642,639,14.0,30.0,8.0,2.3193359375,-6.103515148162842,-4.5166015625,-0.8892822265625,0.362060546875,0.2052001953125
0.843,282,1869,614,588,14.0,30.0,8.0,2.746581792831421,-5.981444835662842,-4.8828125,-0.88623046875,0.3651123046875,0.2001953125
0.865,286,1891,654,631,14.0,30.0,8.0,2.746581792831421,-5.920409679412842,-5.065917491912842,-0.8792724609375,0.3521728515625,0.1903076171875
0.866,280,1890,644,657,14.0,30.0,8.0,2.624511480331421,-5.920409679412842,-4.94384765625,-0.8721923828125,0.33544921875,0.184326171875
0.874,281,1891,601,619,14.0,30.0,8.0,2.50244140625,-6.164550304412842,-4.82177734375,-0.8681640625,0.324462890625,0.188720703125
