time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.004,1714,1837,116,138,-12.0,37.0,43.0,-5.0048828125,-9.70458984375,-0.6713866591453552,-0.9041748046875,0.344970703125,-0.23291015625
0.032,1689,1819,124,135,-12.0,37.0,43.0,-5.065917491912842,-10.925292015075684,-0.4882812201976776,-0.9002685546875,0.343017578125,-0.234130859375
0.033,1613,1766,112,145,-13.0,39.0,33.0,-5.0048828125,-12.023924827575684,-0.2441406100988388,-0.8974609375,0.3447265625,-0.2322998046875
0.034,1682,1778,133,103,-13.0,39.0,33.0,-5.187987804412842,-13.122557640075684,-0.4882812201976776,-0.8916015625,0.34814453125,-0.2188720703125
0.042,1538,1703,112,196,-13.0,39.0,33.0,-4.8828125,-14.465331077575684,-1.3427733182907104,-0.8765869140625,0.362060546875,-0.2010498046875
0.105,1669,1775,136,145,-13.0,39.0,33.0,-3.295898199081421,-15.930174827575684,-2.563476324081421,-0.8658447265625,0.3798828125,-0.19873046875
0.106,1667,1777,136,143,-13.0,39.0,33.0,-0.7324218153953552,-17.333984375,-3.784179449081421,-0.866943359375,0.388427734375,-0.2132568359375
0.106,1656,1769,131,141,-13.0,39.0,33.0,-0.7324218153953552,-17.333984375,-3.784179449081421,-0.875244140625,0.3807373046875,-0.2288818359375
0.106,1662,1768,136,144,-13.0,39.0,33.0,2.685546636581421,-20.507810592651367,-4.5166015625,-0.884521484375,0.3509521484375,-0.223876953125
0.106,1658,1775,129,138,-13.0,39.0,33.0,2.38037109375,-21.911619186401367,-3.784179449081421,-0.886474609375,0.31787109375,-0.19775390625
0.106,1669,1775,134,139,-13.0,39.0,33.0,2.38037109375,-21.911619186401367,-3.784179449081421,-0.8851318359375,0.312744140625,-0.171630859375
0.132,1655,1750,136,141,-12.0,36.0,31.0,0.0,-22.094724655151367,-1.4648436307907104,-0.8865966796875,0.32568359375,-0.16015625
0.133,1667,1778,139,144,-12.0,36.0,31.0,-2.807616949081421,-20.996091842651367,-0.4272460639476776,-0.8895263671875,0.33642578125,-0.1695556640625
0.134,1716,1769,141,154,-12.0,36.0,31.0,-2.807616949081421,-20.996091842651367,-0.4272460639476776,-0.89013671875,0.34228515625,-0.1888427734375
0.146,1656,1745,154,159,-12.0,36.0,31.0,-8.9111328125,-18.6767578125,1.8920897245407104,-0.89013671875,0.344970703125,-0.1993408203125
0.154,1635,1724,181,184,-12.0,36.0,31.0,-11.169432640075684,-18.61572265625,3.784179449081421,-0.889892578125,0.34521484375,-0.1939697265625
0.170,1655,1714,196,199,-12.0,36.0,31.0,-11.169432640075684,-18.61572265625,3.784179449081421,-0.8861083984375,0.3350830078125,-0.1766357421875
