time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.000,318,1713,1189,401,-5.0,31.0,17.0,-3.662109136581421,-16.41845703125,-9.09423828125,-0.87548828125,0.35302734375,-0.1544189453125
0.016,318,1727,1182,402,-5.0,31.0,17.0,-5.187987804412842,-15.014647483825684,-8.36181640625,-0.8740234375,0.340087890625,-0.145751953125
0.021,323,1643,1207,398,-5.0,31.0,17.0,-6.408690929412842,-13.610838890075684,-6.896972179412842,-0.877197265625,0.3173828125,-0.1405029296875
0.026,318,1650,1175,389,-5.0,31.0,17.0,-6.408690929412842,-12.634276390075684,-4.7607421875,-0.892822265625,0.298095703125,-0.141357421875
0.028,317,1675,1172,398,-5.0,31.0,17.0,-4.5166015625,-12.329100608825684,-2.25830078125,-0.9117431640625,0.2955322265625,-0.1507568359375
0.029,316,1608,1183,400,-5.0,31.0,17.0,-0.9765624403953552,-12.756346702575684,0.1220703050494194,-0.9176025390625,0.309326171875,-0.166748046875
0.030,318,1669,1184,390,-4.0,30.0,19.0,2.38037109375,-13.366698265075684,2.01416015625,-0.9013671875,0.3280029296875,-0.1856689453125
0.043,316,1748,1185,401,-4.0,30.0,19.0,3.723144292831421,-13.671874046325684,2.990722417831421,-0.865234375,0.3446044921875,-0.1962890625
0.043,319,1824,1176,391,-4.0,30.0,19.0,2.44140625,-13.427733421325684,2.807616949081421,-0.828369140625,0.3551025390625,-0.190185546875
0.062,318,1957,1199,401,-4.0,30.0,19.0,-0.1831054538488388,-12.756346702575684,2.0751953125,-0.8043212890625,0.349853515625,-0.1641845703125
0.166,322,2063,1198,409,-4.0,30.0,19.0,-2.197265625,-11.840819358825684,1.7700194120407104,-0.79248046875,0.3189697265625,-0.1328125
0.167,321,2167,1219,419,-4.0,30.0,19.0,-1.4038084745407104,-11.352538108825684,2.746581792831421,-0.7928466796875,0.27734375,-0.121337890625
0.167,318,2410,1191,407,-4.0,30.0,19.0,3.540038824081421,-11.901854515075684,5.493163585662842,-0.7994384765625,0.2498779296875,-0.1309814453125
