time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.011,306,308,418,617,-4.0,35.0,15.0,-4.39453125,-4.45556640625,-1.3427733182907104,-0.955322265625,0.5064697265625,-0.2923583984375
0.012,308,308,445,603,-4.0,35.0,15.0,-4.5166015625,-4.2724609375,-1.6479490995407104,-0.934814453125,0.4813232421875,-0.2838134765625
0.013,308,308,464,600,-4.0,35.0,15.0,-3.051757574081421,-4.21142578125,-2.685546636581421,-0.9122314453125,0.4693603515625,-0.2813720703125
0.022,307,308,486,587,-4.0,35.0,15.0,-1.15966796875,-4.33349609375,-3.906249761581421,-0.889892578125,0.46728515625,-0.2791748046875
0.030,308,308,523,582,-4.0,35.0,15.0,0.4272460639476776,-4.8828125,-5.554198741912842,-0.87158203125,0.47705078125,-0.2767333984375
0.038,308,308,535,589,-4.0,35.0,15.0,1.4038084745407104,-5.859374523162842,-7.873534679412842,-0.86328125,0.489013671875,-0.2691650390625
0.059,307,307,548,571,-4.0,35.0,15.0,1.7089842557907104,-7.263183116912842,-10.559081077575684,-0.8629150390625,0.4862060546875,-0.251953125
0.060,308,308,548,599,-4.0,35.0,14.0,2.3193359375,-8.85009765625,-13.183592796325684,-0.8670654296875,0.4759521484375,-0.24072265625
0.068,308,308,564,605,-4.0,35.0,14.0,4.2724609375,-10.131834983825684,-15.136717796325684,-0.868896484375,0.48046875,-0.2408447265625
0.082,308,308,553,590,-4.0,35.0,14.0,6.408690929412842,-11.108397483825684,-16.2353515625,-0.867919921875,0.48486328125,-0.238525390625
0.101,307,308,548,607,-4.0,35.0,14.0,6.774901866912842,-11.901854515075684,-17.333984375,-0.867919921875,0.4705810546875,-0.234130859375
0.101,306,307,540,593,-4.0,35.0,14.0,6.591796398162842,-12.451170921325684,-18.9208984375,-0.8719482421875,0.44921875,-0.2291259765625
0.116,307,308,536,598,-4.0,35.0,14.0,7.324218273162842,-13.000487327575684,-20.629880905151367,-0.8795166015625,0.4190673828125,-0.217529296875
0.120,306,308,512,598,-4.0,35.0,14.0,9.1552734375,-13.793944358825684,-22.033689498901367,-0.887939453125,0.3861083984375,-0.2127685546875
