time,compression0,compression1,compression2,compression3,accel_x,accel_y,accel_z
0.000,792,895,689,314,-0.8851318359375,0.31982421875,-0.138671875
0.008,344,887,780,327,-0.8868408203125,0.29541015625,-0.129638671875
0.016,364,904,790,330,-0.8966064453125,0.2794189453125,-0.1121826171875
0.035,485,887,687,316,-0.90283203125,0.281982421875,-0.0870361328125
0.038,859,890,318,308,-0.9031982421875,0.2886962890625,-0.0631103515625
0.058,714,899,316,308,-0.90576171875,0.28759765625,-0.0511474609375
0.060,682,936,322,308,-0.9102783203125,0.2869873046875,-0.0458984375
0.070,351,932,809,327,-0.9158935546875,0.293212890625,-0.0428466796875
0.076,620,933,689,323,-0.9244384765625,0.3060302734375,-0.045166015625
0.090,837,957,316,308,-0.9364013671875,0.310791015625,-0.05126953125
0.098,846,978,315,308,-0.9525146484375,0.2999267578125,-0.062744140625
0.106,834,991,315,308,-0.965576171875,0.2919921875,-0.0750732421875
0.120,816,987,765,324,-0.9637451171875,0.294677734375,-0.0791015625
0.140,846,1000,330,307,-0.9547119140625,0.2882080078125,-0.0755615234375
0.141,859,1009,316,308,-0.9547119140625,0.2882080078125,-0.0755615234375
0.168,853,1071,332,308,-0.960693359375,0.260498046875,-0.0469970703125
0.169,883,1069,332,310,-0.9620361328125,0.28662109375,-0.0357666015625
0.169,883,1081,344,308,-0.9620361328125,0.28662109375,-0.0357666015625
0.180,909,1151,330,315,-0.9674072265625,0.3306884765625,-0.022216796875
0.188,865,1173,354,309,-0.974365234375,0.315673828125,-0.016357421875
0.196,922,1216,324,308,-0.974365234375,0.315673828125,-0.016357421875
0.210,418,1262,642,327,-0.9832763671875,0.2427978515625,0.0045166015625
0.218,922,1303,673,327,-0.98779296875,0.2171630859375,0.003662109375
0.226,944,1397,330,308,-0.98779296875,0.2171630859375,0.003662109375
0.240,927,1516,347,310,-1.0078125,0.19677734375,-0.029052734375
0.262,922,1575,678,327,-1.009765625,0.2034912109375,-0.036376953125
0.263,757,1616,371,308,-1.009765625,0.2034912109375,-0.036376953125
0.274,419,1646,867,331,-0.986328125,0.24560546875,-0.0120849609375
0.278,603,1693,673,324,-0.974853515625,0.2442626953125,-0.000732421875
0.286,740,1704,512,317,-0.974853515625,0.2442626953125,-0.000732421875
0.300,980,1774,333,310,-0.97509765625,0.2088623046875,0.0152587890625
0.316,985,1807,346,310,-0.9869384765625,0.1934814453125,0.0263671875
0.316,777,1808,452,313,-0.9869384765625,0.1934814453125,0.0263671875
0.340,966,1838,359,309,-1.0186767578125,0.1912841796875,0.0421142578125
0.340,526,1813,826,327,-1.016357421875,0.2054443359375,0.037353515625
0.346,430,1826,951,331,-1.016357421875,0.2054443359375,0.037353515625
0.369,1018,1855,390,314,-0.982666015625,0.25146484375,0.0322265625
0.370,992,1892,402,313,-0.982666015625,0.25146484375,0.0322265625
0.380,1038,1874,346,308,-0.96875,0.2586669921875,0.0299072265625
0.390,1039,1908,349,313,-0.9615478515625,0.2489013671875,0.0526123046875
0.398,1045,1900,354,310,-0.9615478515625,0.2489013671875,0.0526123046875
0.407,455,1904,820,326,-0.958740234375,0.2393798828125,0.067626953125
0.420,1047,1943,345,308,-0.9375,0.1890869140625,0.050537109375
0.428,1018,1978,377,310,-0.9375,0.1890869140625,0.050537109375
0.440,1014,1979,375,313,-0.921142578125,0.184814453125,0.0340576171875
0.450,1038,2035,359,310,-0.903076171875,0.1988525390625,0.0648193359375
0.467,1038,2098,348,310,-0.903076171875,0.1988525390625,0.0648193359375
0.469,1050,2127,348,313,-0.8963623046875,0.19970703125,0.085693359375
0.488,1063,2138,378,313,-0.8487548828125,0.18212890625,0.0758056640625
0.490,1055,2190,378,310,-0.8487548828125,0.18212890625,0.0758056640625
0.496,1085,2217,378,310,-0.8001708984375,0.16796875,0.0621337890625
0.510,1109,2391,383,310,-0.7166748046875,0.1617431640625,0.043701171875
0.518,1123,2541,384,313,-0.7166748046875,0.1617431640625,0.043701171875
0.526,1156,2683,364,313,-0.676513671875,0.14599609375,0.010498046875
0.542,401,2885,1199,344,-0.538818359375,0.1375732421875,-0.0452880859375
0.548,402,3020,1292,347,-0.538818359375,0.1375732421875,-0.0452880859375
0.569,411,3147,1366,372,-0.4560546875,0.158203125,0.02880859375
0.570,374,3147,1450,629,-0.3304443359375,0.1588134765625,0.097412109375
0.604,1456,3147,362,462,-0.23193359375,0.1424560546875,0.162109375
0.606,1413,3147,466,843,-0.2705078125,0.169677734375,0.2718505859375
0.606,478,3147,411,667,-0.46435546875,0.2718505859375,0.417236328125
0.635,1506,3147,382,740,-0.7701416015625,0.3280029296875,0.5430908203125
0.636,1555,3147,454,633,-1.102783203125,0.305419921875,0.608154296875
0.636,603,3147,1683,1290,-1.4732666015625,0.2882080078125,0.6416015625
0.649,521,3147,1704,1869,-1.8438720703125,0.1632080078125,0.6422119140625
0.649,753,3147,344,532,-2.1446533203125,-0.052490234375,0.5054931640625
0.672,401,3147,1878,1927,-2.3255615234375,-0.095947265625,0.20947265625
0.673,355,3147,1904,1864,-2.141845703125,0.1026611328125,-0.19287109375
0.676,537,3147,1588,1792,-1.5963134765625,0.4549560546875,-0.490234375
0.690,572,3147,1635,1813,-1.1798095703125,0.59423828125,-0.34375
0.706,386,3147,1888,1816,-1.204833984375,0.332763671875,0.146728515625
0.706,401,3147,1865,1770,-1.435302734375,0.0186767578125,0.53515625
0.720,586,3147,1580,1610,-1.52490234375,-0.1060791015625,0.634033203125
0.728,1066,3147,998,1399,-1.41943359375,-0.0545654296875,0.537109375
0.736,1681,3147,414,746,-1.23876953125,0.0489501953125,0.387939453125
0.750,499,3147,1267,1320,-1.0802001953125,0.1134033203125,0.3043212890625
0.758,375,3147,1669,1323,-0.9698486328125,0.112548828125,0.285888671875
0.771,879,3147,996,1025,-0.899658203125,0.0655517578125,0.271728515625
0.785,1103,3147,1129,1004,-0.8636474609375,0.039306640625,0.2388916015625
0.789,750,3147,1132,894,-0.854248046875,0.0625,0.1834716796875
0.796,532,3147,1283,739,-0.8594970703125,0.104248046875,0.1162109375
0.815,431,3147,1268,505,-0.8612060546875,0.130859375,0.0869140625
0.818,423,3147,1278,357,-0.86669921875,0.122802734375,0.083740234375
0.826,415,3039,1239,348,-0.8736572265625,0.10107421875,0.056884765625
0.840,411,2645,1198,348,-0.8626708984375,0.1142578125,0.00537109375
0.850,406,2494,1173,345,-0.84033203125,0.1302490234375,-0.0404052734375
0.856,402,2325,1143,346,-0.822509765625,0.099609375,-0.0625
0.877,391,2263,1101,338,-0.8199462890625,0.0716552734375,-0.0672607421875
0.878,391,2197,1092,342,-0.830322265625,0.0960693359375,-0.038330078125
0.886,387,2105,1093,338,-0.8355712890625,0.1298828125,0.0323486328125
0.900,377,2019,1078,336,-0.8292236328125,0.1202392578125,0.13134765625
0.909,371,1936,1079,336,-0.8204345703125,0.06982421875,0.228759765625
0.917,364,1927,1079,336,-0.8145751953125,0.0203857421875,0.2835693359375
0.930,361,1927,1097,334,-0.804931640625,-0.0010986328125,0.2806396484375
0.938,361,2005,1104,338,-0.789306640625,0.0018310546875,0.2401123046875
0.952,362,2076,1108,336,-0.7705078125,0.029052734375,0.1859130859375
0.960,363,2221,1125,334,-0.758056640625,0.0758056640625,0.142578125
0.968,364,2337,1138,338,-0.7652587890625,0.1259765625,0.138671875
0.986,364,2375,1156,338,-0.764892578125,0.1658935546875,0.1519775390625
0.991,371,2621,1216,336,-0.7335205078125,0.172607421875,0.1441650390625
0.998,373,2780,1254,346,-0.6903076171875,0.138916015625,0.112548828125
1.006,374,2968,1306,347,-0.63232421875,0.1015625,0.0469970703125
1.020,379,3147,1372,346,-0.5531005859375,0.075927734375,-0.030517578125
1.028,378,3147,1409,445,-0.460693359375,0.055908203125,-0.09521484375
1.041,383,3147,1473,594,-0.3519287109375,0.07421875,-0.1480712890625
1.054,391,3147,1544,846,-0.2689208984375,0.146728515625,-0.135986328125
1.058,414,3147,1497,992,-0.260009765625,0.2445068359375,-0.02392578125
1.081,774,3147,344,894,-0.341552734375,0.291015625,0.1334228515625
1.082,426,3147,1761,1537,-0.537353515625,0.1715087890625,0.3399658203125
1.088,1766,3147,348,584,-0.860107421875,-0.0928955078125,0.639892578125
1.096,698,3147,1509,1779,-1.2254638671875,-0.2730712890625,0.82080078125
1.110,849,3147,1524,1980,-1.538330078125,-0.1669921875,0.7554931640625
1.118,879,3147,1531,2035,-1.8255615234375,0.1009521484375,0.59326171875
1.127,883,3147,1652,2160,-2.1033935546875,0.2945556640625,0.438232421875
1.140,497,3147,1970,2176,-2.2884521484375,0.4007568359375,0.3018798828125
1.164,678,3147,1650,2007,-2.13427734375,0.5062255859375,0.074951171875
1.164,891,3147,1555,1960,-1.5885009765625,0.6641845703125,-0.1676025390625
1.170,749,3147,1653,1922,-1.2249755859375,0.703857421875,-0.121337890625
1.185,723,3147,1783,1869,-1.4044189453125,0.4180908203125,0.2037353515625
1.193,778,3147,1468,1729,-1.7021484375,0.0361328125,0.4765625
1.200,962,3147,1312,1583,-1.7288818359375,-0.112060546875,0.521728515625
1.208,1215,3147,1399,1527,-1.5479736328125,-0.0546875,0.431640625
1.216,527,3147,1636,1445,-1.33935546875,0.01513671875,0.3404541015625
1.232,533,3147,1564,1274,-1.1688232421875,0.0654296875,0.2767333984375
1.238,465,3147,1613,1175,-1.0238037109375,0.1304931640625,0.228759765625
1.246,473,3147,1562,1050,-0.899658203125,0.1767578125,0.1959228515625
1.266,548,3147,1348,710,-0.8074951171875,0.2037353515625,0.1622314453125
1.268,816,3147,1050,468,-0.7342529296875,0.205078125,0.1165771484375
1.288,648,3095,1097,344,-0.7342529296875,0.205078125,0.1165771484375
1.290,578,2448,991,334,-0.6080322265625,0.0584716796875,0.0048828125
1.298,1167,2310,387,313,-0.5777587890625,-0.0159912109375,-0.05517578125
1.307,1173,2141,373,310,-0.5777587890625,-0.0159912109375,-0.05517578125
1.320,1160,1904,364,310,-0.638427734375,0.025390625,-0.2098388671875
1.328,1155,1830,371,310,-0.6905517578125,0.09130859375,-0.152587890625
1.338,1155,1821,375,310,-0.6905517578125,0.09130859375,-0.152587890625
1.351,512,1733,1043,328,-0.7449951171875,0.116455078125,0.1173095703125
1.362,441,1739,1103,332,-0.7542724609375,0.09716796875,0.1781005859375
1.366,494,1772,1041,328,-0.7542724609375,0.09716796875,0.1781005859375
1.392,829,1846,693,318,-0.769775390625,0.0833740234375,0.1866455078125
1.392,1170,1927,388,308,-0.7861328125,0.0701904296875,0.1968994140625
1.396,1064,1997,506,316,-0.7861328125,0.0701904296875,0.1968994140625
1.411,893,2105,704,321,-0.8358154296875,0.1097412109375,0.20947265625
1.418,865,2190,731,317,-0.857421875,0.14990234375,0.1536865234375
1.426,859,2231,748,323,-0.857421875,0.14990234375,0.1536865234375
1.445,829,2330,793,323,-0.8651123046875,0.20068359375,0.0494384765625
1.448,813,2370,816,326,-0.8555908203125,0.1982421875,0.0433349609375
1.456,766,2492,864,328,-0.8555908203125,0.1982421875,0.0433349609375
1.470,744,2801,920,328,-0.796630859375,0.1629638671875,0.0599365234375
1.498,731,2973,963,330,-0.74072265625,0.145263671875,0.0272216796875
1.498,740,3076,999,334,-0.74072265625,0.145263671875,0.0272216796875
1.500,782,3147,1065,372,-0.5657958984375,0.12890625,-0.0540771484375
1.508,787,3147,1093,513,-0.5657958984375,0.12890625,-0.0540771484375
1.516,803,3147,1155,691,-0.4586181640625,0.1087646484375,-0.063720703125
1.530,846,3147,1228,934,-0.2421875,0.0926513671875,-0.0421142578125
1.538,867,3147,1282,1118,-0.2421875,0.0926513671875,-0.0421142578125
1.552,894,3147,1303,1289,-0.2188720703125,0.07275390625,0.0252685546875
1.566,1908,3147,456,625,-0.607666015625,-0.28466796875,0.4315185546875
1.568,458,3147,1969,1808,-0.607666015625,-0.28466796875,0.4315185546875
1.576,1065,3147,1838,2076,-0.889404296875,-0.440673828125,0.6192626953125
1.595,1874,3147,517,746,-1.6060791015625,0.142333984375,0.6622314453125
1.606,1582,3147,601,1681,-1.6060791015625,0.142333984375,0.6622314453125
1.607,1129,3147,1555,2561,-2.0196533203125,0.337158203125,0.5164794921875
1.620,481,3147,2122,2832,-2.4383544921875,0.4495849609375,0.1378173828125
1.628,540,3147,2203,2867,-2.4383544921875,0.4495849609375,0.1378173828125
1.636,376,3147,2310,2909,-1.9788818359375,0.670166015625,-0.1429443359375
1.650,387,3147,2279,2699,-1.3038330078125,1.0894775390625,0.0555419921875
1.658,411,3147,2225,2541,-1.3038330078125,1.0894775390625,0.0555419921875
1.669,418,3147,2172,2407,-1.6668701171875,0.6812744140625,0.409912109375
1.695,409,3147,2061,2135,-1.7698974609375,0.12548828125,0.396728515625
1.695,487,3147,1918,1920,-1.7698974609375,0.12548828125,0.396728515625
1.696,495,3147,1874,1785,-1.5421142578125,0.1505126953125,0.2445068359375
1.716,468,3147,1820,1545,-1.3392333984375,0.1121826171875,0.1771240234375
1.718,375,3147,1816,1330,-1.165283203125,0.128173828125,0.1663818359375
1.726,365,3147,1770,1079,-0.9744873046875,0.1910400390625,0.111083984375
1.740,359,3147,1641,587,-0.78076171875,0.21875,0.041748046875
1.748,348,3147,1557,363,-0.614501953125,0.2352294921875,0.0263671875
1.756,346,3022,1445,353,-0.5009765625,0.240478515625,0.0203857421875
1.771,337,2492,1278,348,-0.4423828125,0.186767578125,-0.0372314453125
1.778,334,2308,1245,346,-0.4459228515625,0.07373046875,-0.15673828125
