time,compression0,compression1,compression2,compression3,accel_x,accel_y,accel_z
0.008,302,816,713,316,-0.8778076171875,0.3802490234375,-0.337890625
0.018,305,744,728,321,-0.8778076171875,0.374755859375,-0.343017578125
0.025,304,667,737,323,-0.876708984375,0.3709716796875,-0.3349609375
0.034,304,620,744,318,-0.871337890625,0.3653564453125,-0.3167724609375
0.066,304,689,761,323,-0.8599853515625,0.3521728515625,-0.30224609375
0.082,304,714,750,319,-0.845703125,0.327880859375,-0.3023681640625
0.083,302,790,754,321,-0.831787109375,0.2996826171875,-0.3131103515625
0.083,304,840,778,322,-0.8267822265625,0.294189453125,-0.3232421875
0.101,304,1003,794,321,-0.8345947265625,0.3245849609375,-0.3280029296875
0.114,302,1091,799,321,-0.8497314453125,0.3704833984375,-0.329833984375
0.114,304,1131,787,323,-0.8638916015625,0.4031982421875,-0.335205078125
0.131,304,1236,780,321,-0.8695068359375,0.4031982421875,-0.3426513671875
0.131,304,1289,775,322,-0.8629150390625,0.3717041015625,-0.346923828125
0.131,304,1336,784,322,-0.85205078125,0.3438720703125,-0.34130859375
0.153,304,1476,761,322,-0.8485107421875,0.3499755859375,-0.326171875
0.158,306,1534,754,323,-0.8521728515625,0.3756103515625,-0.3140869140625
0.168,304,1611,761,323,-0.8551025390625,0.3924560546875,-0.30615234375
0.175,299,1638,759,323,-0.8480224609375,0.38916015625,-0.296875
0.184,298,1709,746,324,-0.8375244140625,0.3739013671875,-0.291259765625
0.191,302,1761,750,321,-0.838134765625,0.3607177734375,-0.2901611328125
0.205,302,1854,793,324,-0.8505859375,0.3505859375,-0.2845458984375
0.228,304,1908,788,323,-0.864990234375,0.33740234375,-0.2728271484375
0.228,304,1996,785,324,-0.867919921875,0.320068359375,-0.26171875
0.241,304,2118,814,326,-0.8515625,0.306396484375,-0.2579345703125
0.257,291,2217,785,309,-0.82666015625,0.30029296875,-0.2608642578125
0.257,299,2375,805,327,-0.805908203125,0.297607421875,-0.2537841796875
0.265,304,2756,816,325,-0.7808837890625,0.289306640625,-0.229736328125
0.281,298,2966,816,328,-0.7486572265625,0.270263671875,-0.2032470703125
0.281,304,3147,815,330,-0.7156982421875,0.238525390625,-0.18798828125
0.295,306,3147,842,648,-0.6771240234375,0.1866455078125,-0.180419921875
0.304,302,3147,844,933,-0.611572265625,0.1070556640625,-0.178466796875
0.311,304,3147,840,1243,-0.532958984375,0.0526123046875,-0.168212890625
0.333,304,3147,887,1806,-0.47705078125,0.144775390625,-0.0965576171875
0.333,304,3147,888,2075,-0.42919921875,0.3984375,0.01171875
0.341,306,3147,897,2271,-0.3551025390625,0.615478515625,0.02197265625
0.365,305,3147,905,2490,-0.259521484375,0.592041015625,-0.081298828125
0.365,306,3147,907,2727,-0.222412109375,0.3564453125,-0.148681640625
0.371,304,3147,958,2918,-0.4263916015625,0.189453125,-0.294189453125
0.385,306,3147,998,3147,-0.89892578125,0.4334716796875,-0.557373046875
0.394,309,3147,1007,3147,-1.3848876953125,0.9803466796875,-0.66552734375
0.401,308,3147,1067,3147,-1.7364501953125,1.363037109375,-0.6734619140625
0.416,315,3147,1276,3147,-1.9384765625,1.3992919921875,-0.7191162109375
0.436,317,3147,1344,3147,-2.032470703125,1.168212890625,-0.720703125
0.436,316,3147,1357,3147,-1.9735107421875,0.4853515625,-0.54248046875
0.445,315,3147,1412,3147,-1.5391845703125,-0.6217041015625,-0.129150390625
0.458,316,3147,1393,3147,-1.0660400390625,-1.03515625,0.220947265625
0.461,316,3147,1424,3147,-0.9635009765625,-0.368408203125,0.19921875
0.475,318,3147,1483,3147,-1.175048828125,0.5828857421875,-0.1519775390625
0.484,316,3147,1487,3147,-1.524658203125,1.1978759765625,-0.5194091796875
0.491,316,3147,1483,3147,-1.6595458984375,1.1397705078125,-0.6068115234375
0.506,316,3147,1443,3147,-1.4835205078125,0.654052734375,-0.452880859375
0.513,316,3147,1441,3147,-1.213134765625,0.2593994140625,-0.2662353515625
0.521,316,3147,1386,3147,-1.042724609375,0.1627197265625,-0.172607421875
0.539,316,3147,1359,3147,-0.9920654296875,0.2003173828125,-0.1422119140625
0.561,316,3147,1320,2993,-0.9498291015625,0.1417236328125,-0.0787353515625
0.561,310,3147,1239,2710,-0.8438720703125,-0.0428466796875,0.0169677734375
0.570,313,3147,1134,2230,-0.71240234375,-0.2281494140625,0.06640625
0.573,310,3147,1091,1908,-0.627197265625,-0.306396484375,0.0819091796875
0.582,310,3147,1056,1574,-0.5986328125,-0.260498046875,0.0628662109375
0.596,309,3147,991,1112,-0.625,-0.1636962890625,-0.0037841796875
0.604,308,3147,975,858,-0.6868896484375,-0.0384521484375,-0.0648193359375
0.611,310,3147,957,555,-0.7669677734375,0.1793212890625,-0.1180419921875
0.625,308,3045,936,332,-0.8333740234375,0.4456787109375,-0.1767578125
0.634,308,2676,936,334,-0.8358154296875,0.5745849609375,-0.2149658203125
0.662,308,2144,918,330,-0.8043212890625,0.53125,-0.2308349609375
0.664,304,1555,912,323,-0.7872314453125,0.436279296875,-0.2437744140625
0.664,289,1213,868,323,-0.78173828125,0.33544921875,-0.2584228515625
0.673,306,951,834,323,-0.789306640625,0.2572021484375,-0.2706298828125
0.686,304,947,800,321,-0.8143310546875,0.240478515625,-0.2784423828125
0.694,304,803,799,324,-0.8477783203125,0.2720947265625,-0.269287109375
0.702,304,700,785,327,-0.869384765625,0.30322265625,-0.2327880859375
0.717,304,586,750,324,-0.8756103515625,0.299072265625,-0.1907958984375
0.739,306,590,758,323,-0.8826904296875,0.276611328125,-0.1629638671875
0.740,305,689,750,321,-0.888671875,0.2552490234375,-0.1488037109375
0.768,306,631,749,324,-0.884033203125,0.239013671875,-0.1446533203125
0.768,304,724,749,325,-0.866943359375,0.228759765625,-0.1455078125
0.769,304,689,754,321,-0.844970703125,0.21484375,-0.1416015625
0.776,302,780,774,323,-0.823486328125,0.194091796875,-0.122802734375
0.785,304,830,766,321,-0.8035888671875,0.176513671875,-0.08984375
0.792,304,964,780,324,-0.788330078125,0.174560546875,-0.053466796875
0.806,304,1529,848,323,-0.7711181640625,0.185546875,-0.0257568359375
0.814,304,1874,856,327,-0.743408203125,0.1846923828125,-0.0169677734375
0.822,304,2192,899,329,-0.701904296875,0.15087890625,-0.0267333984375
0.845,306,2847,931,332,-0.634765625,0.070556640625,-0.0526123046875
0.845,304,3147,933,437,-0.541015625,-0.026123046875,-0.085693359375
0.867,306,3147,957,913,-0.541015625,-0.026123046875,-0.085693359375
0.870,310,3147,1037,1732,-0.265380859375,0.0947265625,-0.04443359375
0.875,308,3147,1042,2098,-0.0877685546875,0.3399658203125,0.0587158203125
0.882,311,3147,1039,2428,-0.0877685546875,0.3399658203125,0.0587158203125
0.896,313,3147,1093,2951,-0.0020751953125,0.490234375,-0.036376953125
0.904,308,3147,1143,3147,-0.1885986328125,0.314208984375,-0.1495361328125
0.912,315,3147,1294,3147,-0.1885986328125,0.314208984375,-0.1495361328125
0.926,323,3147,1613,3147,-1.2821044921875,0.701416015625,-0.4166259765625
0.940,324,3147,1735,3147,-1.947998046875,0.866943359375,-0.5859375
0.942,328,3147,1820,3147,-1.947998046875,0.866943359375,-0.5859375
0.967,330,3147,1865,3147,-2.725341796875,0.2833251953125,-0.6253662109375
0.978,330,3147,1798,3147,-2.77685546875,0.11962890625,-0.392333984375
0.978,327,3147,1798,3147,-2.77685546875,0.11962890625,-0.392333984375
0.986,324,3147,1744,3147,-1.455078125,-1.0341796875,0.500732421875
0.994,323,3147,1732,3147,-0.7296142578125,-0.5531005859375,0.6407470703125
1.002,323,3147,1687,3147,-0.7296142578125,-0.5531005859375,0.6407470703125
1.016,321,3147,1689,3147,-1.2825927734375,1.1080322265625,-0.3056640625
1.024,323,3147,1686,3147,-1.7447509765625,1.009765625,-0.5584716796875
1.032,324,3147,1635,3147,-1.7447509765625,1.009765625,-0.5584716796875
1.046,322,3147,1504,3147,-1.512939453125,0.2034912109375,-0.2073974609375
1.054,323,3147,1395,3147,-1.512939453125,0.2034912109375,-0.2073974609375
1.076,322,3147,1357,3147,-1.2557373046875,0.046875,-0.0943603515625
1.079,322,3147,1228,2769,-0.9957275390625,-0.1661376953125,0.0013427734375
1.084,323,3147,1145,2493,-0.9957275390625,-0.1661376953125,0.0013427734375
1.092,329,3147,1014,2203,-0.8736572265625,-0.3193359375,0.12744140625
1.120,318,3147,951,1704,-0.615966796875,-0.2957763671875,0.12255859375
1.121,310,3147,932,1369,-0.615966796875,-0.2957763671875,0.12255859375
1.122,308,3147,899,966,-0.5775146484375,-0.0048828125,0.004150390625
1.136,306,3147,859,338,-0.659423828125,0.338134765625,-0.325927734375
1.145,307,2557,835,334,-0.659423828125,0.338134765625,-0.325927734375
1.152,306,2047,813,330,-0.6805419921875,0.378662109375,-0.3404541015625
1.188,308,1468,739,325,-0.67529296875,0.5045166015625,-0.306640625
1.189,304,1170,713,328,-0.67529296875,0.5045166015625,-0.306640625
1.189,304,991,687,324,-0.681640625,0.5322265625,-0.3057861328125
1.198,302,1034,674,322,-0.700927734375,0.425537109375,-0.30712890625
1.205,304,1010,660,321,-0.700927734375,0.425537109375,-0.30712890625
1.212,302,987,692,321,-0.723876953125,0.3121337890625,-0.2738037109375
1.228,304,976,700,323,-0.829833984375,0.24072265625,-0.15673828125
1.235,304,957,666,317,-0.829833984375,0.24072265625,-0.15673828125
1.248,305,748,695,327,-0.86181640625,0.2347412109375,-0.1202392578125
1.256,302,713,683,322,-0.859619140625,0.1793212890625,-0.1439208984375
1.275,304,766,680,317,-0.859619140625,0.1793212890625,-0.1439208984375
1.275,299,744,660,321,-0.859130859375,0.1605224609375,-0.1636962890625
1.286,302,803,674,319,-0.868408203125,0.1661376953125,-0.1474609375
1.294,304,846,683,322,-0.874267578125,0.176513671875,-0.1094970703125
1.302,304,946,714,321,-0.869384765625,0.18505859375,-0.0765380859375
1.319,304,1355,748,323,-0.8521728515625,0.206787109375,-0.0496826171875
1.326,302,1516,754,327,-0.8209228515625,0.2127685546875,-0.026611328125
1.332,304,1892,759,325,-0.7919921875,0.1767578125,-0.02490234375
1.351,304,2601,753,327,-0.770751953125,0.1256103515625,-0.05859375
1.357,306,3008,731,334,-0.7501220703125,0.0865478515625,-0.107666015625
1.362,306,3147,723,506,-0.723876953125,0.057861328125,-0.1490478515625
1.394,304,3147,673,1470,-0.70703125,0.033203125,-0.1796875
1.394,306,3147,639,1809,-0.703125,0.0411376953125,-0.1751708984375
1.394,306,3147,601,2174,-0.68212890625,0.0859375,-0.1212158203125
1.408,306,3147,648,2713,-0.6142578125,0.1485595703125,-0.0035400390625
1.414,304,3147,654,3000,-0.4122314453125,0.2088623046875,0.1094970703125
1.422,304,3147,713,3147,-0.0814208984375,0.2392578125,0.0694580078125
1.436,304,3147,844,3147,0.145263671875,0.2955322265625,-0.1060791015625
1.444,305,3147,872,3147,-0.0380859375,0.43994140625,-0.2926025390625
1.452,306,3147,874,3147,-0.6279296875,0.611328125,-0.4356689453125
1.468,309,3147,1043,3147,-1.3052978515625,0.7698974609375,-0.5277099609375
1.489,313,3147,1201,3147,-1.8525390625,1.0025634765625,-0.5762939453125
1.497,316,3147,1348,3147,-2.23046875,1.2308349609375,-0.5841064453125
1.497,321,3147,1504,3147,-2.4334716796875,1.015869140625,-0.510009765625
1.506,321,3147,1476,3147,-2.4346923828125,0.2308349609375,-0.404541015625
1.512,318,3147,1456,3147,-2.114990234375,-0.7947998046875,-0.0269775390625
1.527,321,3147,1372,3147,-1.39892578125,-1.3179931640625,0.5499267578125
1.536,321,3147,1357,3147,-0.8563232421875,-0.7740478515625,0.6220703125
1.542,319,3147,1351,3147,-1.01025390625,0.4539794921875,0.0953369140625
1.556,321,3147,1411,3147,-1.6102294921875,1.4193115234375,-0.4822998046875
1.576,318,3147,1382,3147,-2.01123046875,1.3807373046875,-0.6923828125
1.593,318,3147,1390,3147,-1.8662109375,0.740966796875,-0.568603515625
1.593,302,3147,1349,3147,-1.4683837890625,0.2525634765625,-0.3275146484375
1.595,316,3147,1271,3147,-1.12890625,0.00048828125,-0.103271484375
1.608,315,3147,1188,3107,-0.9212646484375,-0.1405029296875,0.0703125
1.614,313,3147,1051,2560,-0.794677734375,-0.224853515625,0.22265625
1.635,312,3147,992,1646,-0.6619873046875,-0.3134765625,0.2972412109375
1.635,308,3147,978,1137,-0.5577392578125,-0.3974609375,0.2818603515625
1.641,316,3147,944,553,-0.53466796875,-0.3697509765625,0.2359619140625
1.658,360,2587,826,330,-0.5679931640625,-0.1998291015625,0.1043701171875
1.666,362,1897,562,327,-0.6456298828125,0.0299072265625,-0.0997314453125
1.689,330,1290,656,321,-0.70654296875,0.240234375,-0.2802734375
1.690,306,814,619,313,-0.7064208984375,0.3857421875,-0.36962890625
1.694,307,523,607,324,-0.69873046875,0.49560546875,-0.3612060546875
1.701,304,433,562,316,-0.7060546875,0.5655517578125,-0.32861328125
1.716,309,522,625,318,-0.706298828125,0.5164794921875,-0.340576171875
1.723,307,522,607,319,-0.7144775390625,0.388671875,-0.3656005859375
1.734,307,531,634,318,-0.724853515625,0.3057861328125,-0.35693359375
1.745,304,571,616,318,-0.734130859375,0.2735595703125,-0.33447265625
1.761,304,567,620,318,-0.7503662109375,0.2525634765625,-0.3050537109375
1.762,305,574,630,302,-0.766845703125,0.2451171875,-0.2608642578125
1.778,304,571,619,318,-0.7845458984375,0.2550048828125,-0.214599609375
1.793,304,568,629,318,-0.800048828125,0.2747802734375,-0.175048828125
1.793,306,562,653,318,-0.814208984375,0.2857666015625,-0.146240234375
1.806,306,485,675,319,-0.828369140625,0.2757568359375,-0.1217041015625
1.820,308,536,642,318,-0.8355712890625,0.2489013671875,-0.091796875
1.821,294,586,673,321,-0.8370361328125,0.2122802734375,-0.0660400390625
1.835,304,858,693,316,-0.83935546875,0.18603515625,-0.0584716796875
1.843,307,952,688,321,-0.8330078125,0.1766357421875,-0.05810546875
1.867,306,1204,754,324,-0.8330078125,0.1766357421875,-0.05810546875
1.867,308,2047,852,324,-0.7738037109375,0.1280517578125,-0.0360107421875
1.876,308,2521,895,332,-0.778076171875,0.1181640625,-0.05419921875
1.890,307,2844,888,334,-0.778076171875,0.1181640625,-0.05419921875
1.906,306,3147,883,832,-0.8267822265625,0.1820068359375,-0.204345703125
1.907,292,3147,888,1260,-0.822021484375,0.1898193359375,-0.2608642578125
1.913,308,3147,899,1691,-0.822021484375,0.1898193359375,-0.2608642578125
1.925,306,3147,906,2372,-0.637939453125,0.1748046875,-0.1011962890625
1.933,310,3147,952,2813,-0.4033203125,0.194091796875,-0.019775390625
1.942,313,3147,1043,3143,-0.4033203125,0.194091796875,-0.019775390625
1.956,308,3147,1151,3147,0.143310546875,0.1810302734375,-0.38037109375
1.971,314,3147,1303,3147,-0.114013671875,0.2596435546875,-0.581298828125
1.972,316,3147,1422,3147,-0.114013671875,0.2596435546875,-0.581298828125
1.993,321,3147,1697,3147,-1.4857177734375,0.861572265625,-0.4931640625
1.997,325,3147,1850,3147,-2.1170654296875,1.043701171875,-0.3009033203125
2.002,327,3147,1914,3147,-2.1170654296875,1.043701171875,-0.3009033203125
2.015,327,3147,1954,3147,-2.52490234375,0.1683349609375,-0.1322021484375
2.023,325,3147,2001,3147,-2.2452392578125,-0.4063720703125,0.045166015625
2.034,328,3147,2041,3147,-2.2452392578125,-0.4063720703125,0.045166015625
2.045,327,3147,1983,3147,-1.0155029296875,-1.1231689453125,0.720458984375
2.053,323,3147,1890,3147,-0.6304931640625,-0.3284912109375,0.722412109375
2.066,324,3147,1806,3147,-0.6304931640625,-0.3284912109375,0.722412109375
2.076,323,3147,1798,3147,-1.0025634765625,0.776611328125,-0.0704345703125
2.096,324,3147,1826,3147,-1.0025634765625,0.776611328125,-0.0704345703125
2.096,326,3147,1852,3147,-1.53515625,0.9034423828125,-0.513671875
2.105,324,3147,1808,3147,-1.7606201171875,0.2447509765625,-0.4998779296875
2.113,324,3147,1755,3147,-1.7606201171875,0.2447509765625,-0.4998779296875
2.123,1611,3147,1395,725,-1.4727783203125,-0.1884765625,-0.2203369140625
2.138,486,3147,1440,3147,-1.1419677734375,-0.194580078125,0.0958251953125
2.143,446,3147,1427,2974,-1.1419677734375,-0.194580078125,0.0958251953125
2.153,420,3147,1336,2612,-1.026123046875,-0.089111328125,0.0938720703125
2.169,318,3147,1302,1979,-0.8017578125,0.2216796875,-0.0321044921875
2.173,317,3147,1231,1516,-0.8017578125,0.2216796875,-0.0321044921875
2.181,315,3147,1137,959,-0.7147216796875,0.258544921875,-0.044921875
2.209,313,2677,1043,338,-0.5347900390625,0.0318603515625,-0.158935546875
2.209,309,2218,989,334,-0.5347900390625,0.0318603515625,-0.158935546875
2.212,308,1861,984,333,-0.5184326171875,0.068359375,-0.20166015625
