time,p0,p1,p2,p3
17:29:44.094000,0.0,0.0,308.0,309.0
17:29:44.102000,0.0,0.0,307.0,308.0
17:29:44.116000,0.0,0.0,299.0,310.0
17:29:44.124000,0.0,0.0,307.0,308.0
17:29:44.132000,0.0,0.0,307.0,299.0
17:29:44.146000,0.0,0.0,308.0,309.0
17:29:44.154000,0.0,0.0,308.0,310.0
17:29:44.162000,0.0,0.0,308.0,309.0
17:29:44.176000,0.0,0.0,308.0,308.0
17:29:44.184000,0.0,0.0,308.0,306.0
17:29:44.192000,0.0,0.0,308.0,307.0
17:29:44.206000,0.0,0.0,309.0,309.0
17:29:44.214000,0.0,0.0,309.0,308.0
17:29:44.222000,0.0,0.0,306.0,306.0
17:29:44.236000,0.0,0.0,307.0,308.0
17:29:44.244000,0.0,0.0,308.0,308.0
17:29:44.252000,0.0,0.0,309.0,309.0
17:29:44.266000,0.0,0.0,307.0,310.0
17:29:44.274000,0.0,0.0,308.0,308.0
17:29:44.282000,0.0,0.0,309.0,298.0
17:29:44.296000,0.0,0.0,308.0,308.0
17:29:44.304000,0.0,0.0,306.0,310.0
17:29:44.312000,0.0,0.0,309.0,308.0
17:29:44.326000,0.0,0.0,307.0,307.0
17:29:44.334000,0.0,0.0,306.0,308.0
17:29:44.342000,0.0,0.0,307.0,308.0
17:29:44.356000,0.0,0.0,305.0,309.0
17:29:44.364000,0.0,0.0,309.0,308.0
17:29:44.372000,0.0,0.0,308.0,310.0
17:29:44.386000,0.0,0.0,310.0,308.0
17:29:44.394000,0.0,0.0,307.0,296.0
17:29:44.402000,0.0,0.0,308.0,308.0
17:29:44.416000,0.0,0.0,307.0,309.0
17:29:44.424000,0.0,0.0,308.0,308.0
17:29:44.432000,0.0,0.0,308.0,308.0
17:29:44.446000,0.0,0.0,308.0,309.0
17:29:44.454000,0.0,0.0,309.0,309.0
17:29:44.462000,0.0,0.0,309.0,308.0
17:29:44.476000,0.0,0.0,308.0,308.0
17:29:44.484000,0.0,0.0,307.0,308.0
17:29:44.492000,0.0,0.0,308.0,309.0
17:29:44.506000,0.0,0.0,308.0,309.0
17:29:44.514000,0.0,0.0,308.0,308.0
17:29:44.522000,0.0,0.0,308.0,308.0
17:29:44.536000,0.0,0.0,309.0,308.0
17:29:44.544000,0.0,0.0,308.0,308.0
