Software Sample Rate=10(Hz)
LCR Meter Speed=Medium(40Hz)
Force Speed=Medium(10Hz)
Primary Parameter=R
Secondary Parameter=Q
Time,Primary Parameter,Secondary Parameter,Force,Positon
32.305000,183342.000000,0.018426,0.000000,-2307.000000
32.405000,183074.000000,0.018450,0.000000,0.000000
32.506000,182903.000000,0.018483,0.000000,0.000000
32.606000,183105.000000,0.018549,0.000000,0.000000
32.706000,183024.000000,0.018549,0.000000,0.000000
32.806000,183181.000000,0.018477,0.000000,0.000000
32.907000,183551.000000,0.018489,0.000000,0.000000
33.008000,183104.000000,0.018426,0.000000,0.000000
33.109000,183566.000000,0.018317,0.000000,0.000000
33.209000,183663.000000,0.018302,0.000000,0.000000
33.309000,182056.000000,0.018446,0.000000,0.000000
33.410000,182322.000000,0.018515,0.000000,0.000000
33.510000,182697.000000,0.018418,0.000000,0.000000
33.611000,182447.000000,0.018418,0.000000,0.000000
33.711000,182625.000000,0.018434,0.000000,0.000000
33.813000,182704.000000,0.018355,0.000000,0.000000
33.913000,182668.000000,0.018481,0.000000,0.000000
34.013000,182656.000000,0.018440,0.000000,0.000000
34.114000,182971.000000,0.018466,0.000000,0.000000
34.214000,182768.000000,0.018433,0.000000,0.000000
34.315000,182611.000000,0.018437,0.000000,0.000000
34.417000,182153.000000,0.018507,0.000000,0.000000
34.517000,182697.000000,0.018454,0.000000,0.000000
34.617000,182937.000000,0.018449,0.000000,0.000000
34.718000,181899.000000,0.018397,0.000000,0.000000
34.818000,182353.000000,0.018535,0.000000,0.000000
34.918000,182235.000000,0.018362,0.000000,0.000000
35.018000,182229.000000,0.018475,0.000000,0.000000
35.118000,182886.000000,0.018476,0.000000,0.000000
35.218000,191790.000000,0.018590,0.000000,0.000000
35.318000,199818.000000,0.019950,0.000000,0.000000
35.419000,200915.000000,0.019716,0.000000,0.000000
35.519000,195337.000000,0.019115,0.000000,0.000000
35.619000,198535.000000,0.019561,0.000000,0.000000
35.719000,196150.000000,0.019305,0.000000,0.000000
35.819000,197125.000000,0.019193,0.000000,0.000000
35.919000,194248.000000,0.019314,0.000000,0.000000
36.019000,198852.000000,0.019641,0.000000,0.000000
36.119000,198964.000000,0.019790,0.000000,0.000000
36.219000,208136.000000,0.020167,0.000000,0.000000
36.319000,202147.000000,0.019689,0.000000,0.000000
36.419000,203530.000000,0.020026,0.000000,0.000000
36.520000,201990.000000,0.019915,0.000000,0.000000
36.620000,206313.000000,0.019926,0.000000,217.000000
36.720000,210679.000000,0.019536,0.000000,464.000000
36.821000,194982.000000,0.018940,0.000000,719.000000
36.921000,201082.000000,0.019173,0.000000,967.000000
37.021000,193894.000000,0.018760,0.000000,1217.000000
37.121000,201616.000000,0.019119,0.000000,1464.000000
37.221000,200269.000000,0.019124,0.000000,1717.000000
37.321000,204791.000000,0.019273,0.000000,1964.000000
37.421000,202193.000000,0.019210,0.000000,2217.000000
37.522000,191435.000000,0.019084,0.000000,2464.000000
37.623000,191951.000000,0.019058,0.000000,2717.000000
37.723000,192480.000000,0.019093,0.000000,2964.000000
37.823000,192145.000000,0.019165,0.000000,3217.000000
37.923000,192023.000000,0.018945,0.000000,3464.000000
38.023000,191829.000000,0.018956,0.000000,3714.000000
38.123000,201931.000000,0.019136,0.170000,3942.000000
38.224000,197996.000000,0.018736,0.240000,3984.000000
38.324000,203373.000000,0.018970,0.310000,4024.000000
38.424000,212924.000000,0.019731,0.390000,4067.000000
38.524000,206724.000000,0.019453,0.450000,4109.000000
38.625000,211361.000000,0.019652,0.530000,4152.000000
38.726000,209652.000000,0.019752,0.620000,4194.000000
38.826000,214241.000000,0.019609,0.700000,4237.000000
38.927000,223220.000000,0.019968,0.800000,4277.000000
39.027000,228403.000000,0.020253,0.890000,4319.000000
39.128000,231762.000000,0.020243,1.010000,4359.000000
39.228000,143806.000000,0.012613,1.110000,4399.000000
39.328000,121874.000000,0.009116,1.240000,4442.000000
39.429000,121712.000000,0.010269,1.360000,4482.000000
39.529000,121397.000000,0.008649,1.500000,4524.000000
39.629000,114386.000000,0.009089,1.640000,4567.000000
39.729000,115919.000000,0.009322,1.800000,4609.000000
39.829000,85358.200000,0.005795,1.960000,4649.000000
39.929000,56034.800000,0.004042,2.120000,4692.000000
40.030000,47276.800000,0.002650,2.260000,4734.000000
40.130000,39858.300000,0.002283,2.450000,4774.000000
40.230000,34425.700000,0.001489,2.650000,4817.000000
40.330000,31756.600000,0.001626,2.860000,4857.000000
40.430000,29490.400000,0.001612,3.090000,4897.000000
40.530000,27307.800000,0.001477,3.350000,4939.000000
40.630000,26373.100000,0.001524,3.620000,4979.000000
40.730000,23290.800000,0.001031,3.890000,5022.000000
40.831000,21703.500000,0.000992,4.200000,5062.000000
40.932000,19983.500000,0.001089,4.530000,5104.000000
41.032000,18322.000000,0.000677,4.870000,5147.000000
41.133000,16949.100000,0.000395,5.230000,5187.000000
41.233000,16732.000000,0.000636,5.620000,5229.000000
41.334000,16783.500000,0.000621,6.020000,5272.000000
41.436000,16151.700000,0.000718,6.440000,5312.000000
41.536000,15096.700000,0.000610,6.880000,5354.000000
41.636000,13194.200000,0.000453,7.330000,5394.000000
41.737000,12240.200000,0.000344,7.800000,5434.000000
41.837000,11581.900000,0.000199,8.300000,5474.000000
41.937000,11319.500000,0.000126,8.800000,5517.000000
42.037000,10645.300000,0.000173,9.330000,5557.000000
42.137000,10386.900000,0.000113,9.870000,5599.000000
42.238000,10062.700000,0.000136,10.440000,5642.000000
42.338000,9443.280000,0.000155,11.020000,5684.000000
42.439000,9307.360000,0.000178,11.620000,5727.000000
42.539000,8985.290000,0.000196,12.220000,5769.000000
42.639000,8613.750000,0.000177,12.870000,5812.000000
42.739000,8424.610000,0.000130,13.610000,5852.000000
42.839000,8207.250000,0.000197,14.360000,5892.000000
42.939000,7936.250000,0.000004,15.160000,5929.000000
43.040000,7455.400000,0.000025,16.030000,5969.000000
43.140000,7182.130000,0.000091,16.920000,6009.000000
43.240000,6883.130000,0.000121,17.860000,6052.000000
43.340000,6678.070000,0.000064,18.820000,6092.000000
43.441000,6443.510000,0.000036,19.850000,6134.000000
43.542000,6027.720000,0.000112,20.910000,6174.000000
43.642000,5988.370000,0.000120,22.010000,6214.000000
43.742000,5781.250000,0.000171,23.160000,6254.000000
43.842000,5714.290000,0.000177,24.350000,6294.000000
43.942000,5597.680000,0.000162,25.610000,6334.000000
44.043000,5318.350000,0.000213,26.920000,6372.000000
44.143000,5121.120000,0.000236,28.290000,6412.000000
44.243000,5080.980000,0.000216,29.690000,6452.000000
44.344000,5040.060000,0.000262,31.180000,6494.000000
44.444000,4896.820000,0.000218,32.700000,6537.000000
44.544000,4823.640000,0.000261,34.270000,6577.000000
44.644000,4712.920000,0.000156,35.870000,6617.000000
44.744000,4533.500000,0.000221,37.540000,6659.000000
44.844000,4460.410000,0.000168,39.260000,6702.000000
44.944000,4271.580000,0.000234,41.010000,6742.000000
45.044000,4140.960000,0.000214,42.790000,6784.000000
45.144000,4035.390000,0.000233,44.650000,6824.000000
45.244000,3888.690000,0.000212,46.530000,6864.000000
45.344000,3814.810000,0.000222,48.470000,6904.000000
45.444000,3769.970000,0.000235,50.240000,6942.000000
45.544000,3752.510000,0.000228,49.600000,6942.000000
45.644000,3750.890000,0.000229,49.270000,6944.000000
45.744000,3729.690000,0.000205,49.020000,6944.000000
45.846000,3719.830000,0.000226,48.830000,6944.000000
45.946000,3709.600000,0.000205,48.660000,6944.000000
46.046000,3703.300000,0.000218,48.520000,6944.000000
46.147000,3704.190000,0.000220,48.390000,6944.000000
46.247000,3699.050000,0.000245,48.290000,6944.000000
